,year,FIPS,County,State,yield,area,tmax5,tmax6,tmax7,tmax8,tmax9,tmin5,tmin6,tmin7,tmin8,tmin9,tave5,tave6,tave7,tave8,tave9,vpdmax5,vpdmax6,vpdmax7,vpdmax8,vpdmax9,vpdmin5,vpdmin6,vpdmin7,vpdmin8,vpdmin9,vpdave5,vpdave6,vpdave7,vpdave8,vpdave9,precip5,precip6,precip7,precip8,precip9,tave56789,vpdave56789,precip56789,precip_gs_mean,precip_gs_std,precip_gs_z,yield_ana
0,2016,8003,ALAMOSA,COLORADO,394,16800,17.729268071099998,27.1555243454,28.281372904899996,23.9457777383,23.2294629828,0.44721838763899996,6.75164200102,8.650776129239999,7.1052016144,3.1642606668799997,9.088243229369999,16.9535831732,18.4660745171,15.525489676400001,13.196861824800001,16.0367161317,29.9027776569,31.0953864787,21.0445722673,22.5776600129,0.853250967693,1.7359853320700003,1.99365580751,0.650812257967,1.09652533351,8.44498354971,15.8193814945,16.5445211431,10.8476922626,11.837092673199999,21.7739800024,9.57817998858,19.1113299982,51.3431700675,13.6907299839,14.646050484173998,12.9141446124775,115.49739004057999,139.77565557820432,38.288162805067245,-0.6340932486426648,-75.01565464492887
1,2015,8003,ALAMOSA,COLORADO,386,18000,17.055380644,25.9895533387,25.436003219099998,26.537122588600003,24.554203336399997,1.0729741926,6.54091667101,8.65380644775,7.6272774201199995,4.43227666796,9.06417741827,16.2652350048,17.0449048334,17.0822000044,14.4932400022,14.410432266099999,27.0055166583,22.3664290225,26.4389580848,24.5339433242,0.670699999483,1.5589133334,0.8597354827150001,1.14353548284,1.3299399999,7.5405661327899995,14.282214995899999,11.6130822526,13.791246783800002,12.9319416621,63.2430001022,19.1999099306,51.750399969499995,17.4964999849,13.898199990999998,14.789951452614002,11.8067775412725,165.58800997819998,139.77565557820432,38.288162805067245,0.674160171419338,-71.12633980344981
2,2014,8003,ALAMOSA,COLORADO,379,18200,18.5206258159,25.8162333469,26.8473612908,24.4227451718,24.2802933207,0.347658066353,5.01012333292,9.17198710103,6.90880968278,4.606330001130001,9.43414194112,15.4131783399,18.0096741959,15.6657774273,14.4433116609,18.3966871004,29.09789667,25.491777425100004,22.2012838734,23.5315466571,1.530154838,2.69514333365,1.1588387096600001,0.9707451602789999,1.0421799993799998,9.9634209692,15.8965200018,13.3253080674,11.5860145168,12.286863328199999,16.095000001400003,1.90050000403,55.7442000343,26.6128000634,20.539699973399998,14.593216713024,12.6928158888,120.89220007653,139.77565557820432,38.288162805067245,-0.4931930423983464,-66.5400099598337
3,2013,8003,ALAMOSA,COLORADO,365,16800,19.7409354921,27.8118833459,26.9152290372,26.295512908499997,22.475579982,-0.139258064982,5.25611333365,8.97771289984,8.48900967856,5.55871666581,9.80083871357,16.5339983398,17.946470968499998,17.3922612935,14.0171483239,19.2973419397,31.938996629400002,25.476419343099998,25.055919361100003,19.1942866732,1.8336967757799998,3.2959233338700002,1.21525161221,1.1669161284799998,1.13867999832,10.5655193577,17.6174599816,13.3458354777,13.1114177448,10.1664833358,11.912600001700001,4.8325000000900005,39.6062000095,41.4580000782,68.8328999822,15.138143527854002,13.66005814045,166.64220007169,139.77565557820432,38.288162805067245,0.7016932264488293,-69.2566651138477
4,2012,8003,ALAMOSA,COLORADO,358,17800,21.2869064561,28.6209133377,27.7624967578,26.938970972199996,23.1226533298,1.61731290593,6.65280666867,9.16905161177,7.75593548275,3.3055066661900003,11.452109681,17.6368600032,18.4657741848,17.3474532275,13.214079997999999,21.5442193527,33.4186533209,27.362351602600004,26.7709967667,22.5191633158,2.22620322618,3.65707666698,1.5992774182799998,1.23074516097,1.4824133341999999,11.8852112894,18.537864994,14.4808145104,14.0008709638,12.000788325,26.483099889600002,5.65330000436,38.333399993600004,24.5961999821,28.3625999694,15.623255418900001,14.7261904394,123.42859983906001,139.77565557820432,38.288162805067245,-0.4269480314939755,-65.27630526549183
5,2011,8003,ALAMOSA,COLORADO,385,18200,17.829958065699998,26.6457366648,29.0075548393,27.825074179899996,22.229246664,-0.701996770474,5.10769666773,10.0425387173,8.90066128746,3.63490333374,8.5639806476,15.876716666300002,19.5250467783,18.3628677337,12.932074998900001,17.8905935557,30.8523199789,30.979290312199996,28.2676806647,20.0068766758,2.00262580559,3.53441667167,2.24752257934,1.4346677410600002,0.895893333273,9.94660968062,17.1933683253,16.6134064458,14.8511742029,10.4513850045,7.21419999117,0.115500000715,16.3595000072,24.8951999969,31.9292999978,15.05213736496,14.651139663654998,80.513699993785,139.77565557820432,38.288162805067245,-1.5477879125758498,-27.598930415231735
6,2010,8003,ALAMOSA,COLORADO,393,19100,18.779512898,26.69686999,27.3323935496,26.2839548323,24.9919799986,-0.08881612672980001,5.78531333444,9.23068709495,7.816587098489999,3.14435666512,9.34534838563,16.2410916622,18.2815403223,17.0502709654,14.0681683319,18.6782161321,29.5163166596,26.917132231500002,24.8685709577,26.3889199963,1.96325484023,2.3072266663,1.30220645159,0.937019353891,1.5433433327700001,10.3207354862,15.911771663,14.1096693415,12.9027951558,13.9661316645,4.34129999395,4.161999998540001,25.712000002699998,23.0587000008,21.6432999515,14.997283933485999,13.311242911625,78.91729994749,139.77565557820432,38.288162805067245,-1.5894822621956683,-9.22454056236893
7,2009,8003,ALAMOSA,COLORADO,382,17500,20.8486548404,22.1500600058,27.5173129131,26.104967728000002,21.539456657,2.9016354831,4.8344199995,7.551467744189999,5.68090322502,2.62433000223,11.8751451617,13.4922400027,17.5343903286,15.892935476500002,12.0818933296,19.5407193496,20.0271666571,29.171558064,27.5398935302,19.1167633341,1.512803226,1.03410999884,1.2487774167299999,1.4322516115000001,0.727909999803,10.5267612878,10.5306383279,15.2101677404,14.4860725708,9.922336666960001,36.4098999996,30.567700057800003,12.978899988599998,17.496899998099998,27.2616000356,14.17532085982,12.688409981725,124.71500007969999,139.77565557820432,38.288162805067245,-0.3933501739214066,-10.153135707136244
8,2008,8003,ALAMOSA,COLORADO,382,18400,18.5355064596,25.1850099799,26.9679806454,25.448641945,22.2754499925,-0.294877420552,4.2610633339,8.36485483385,7.6477806493,1.82910666643,9.12031451952,14.7230366569,17.6664177396,16.5482112972,12.0522783295,18.422964508299998,27.6947866806,27.1298870973,24.2462741944,20.9587733359,1.51106451496,2.55034000098,1.21230645055,1.04349677271,0.940929998145,9.96701451163,15.1225633408,14.1710967739,12.6448854836,10.949851667,9.44510001147,9.57469999952,21.0542999991,48.4130000124,12.1041000188,14.022051708544002,12.9763900274825,100.59120004129,139.77565557820432,38.288162805067245,-1.0234091339511455,-0.38471584976650774
9,2007,8003,ALAMOSA,COLORADO,365,18800,18.798267753399998,25.102756669,26.9915935476,26.921319350300003,22.734223329499997,1.3789322567700002,4.97653333533,9.14825806614,8.57989354822,3.53421000686,10.0886000051,15.0396450021,18.0699258069,17.7506064492,13.134216668199999,16.542580639,27.021763316599998,26.9720290396,26.331490300100004,20.959869988,0.797703225008,1.7248966645500001,1.24497741826,1.03107096746,1.00614999895,8.670141931989999,14.3733299906,14.108503228900002,13.681280633800002,10.9830099935,29.4228999313,10.9197000098,41.1855999617,26.376300037399997,29.788299954,14.8165987863,12.708313946322502,137.6927998942,139.77565557820432,38.288162805067245,-0.05439946791410617,-7.919280990026891
