"","year","State","FIPS","yield_ana","yield","area","A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P"
"14",2003,"COLORADO","8003",11.9126084719319,350,21500,358.250870791633,368.4348275226,376.480171592321,355.156586327504,359.947347789404,369.076144466282,355.510381079994,361.359058788554,370.669614928832,358.088580853771,356.653080188077,362.646716511102,371.805877591057,358.915282992081,359.868937264653,361.048471851441
"49",2003,"COLORADO","8105",31.9126084719319,370,21100,359.0659682431,369.483112564089,375.633536280903,356.718830148796,360.347055937587,369.696703634652,357.093908852379,361.648431400822,370.978083982807,359.15313012445,357.985702508606,362.669784845481,371.883854362848,359.783490089185,360.664396651685,361.585435419364
"85",2003,"COLORADO","8109",16.9126084719319,355,17400,360.492865451875,370.296716733819,378.922127470306,357.551804999272,362.75427560248,371.761787472198,358.096158151286,364.425368243265,373.557918604061,361.234105435656,359.030709954784,365.467765722763,374.5074166961,361.87113459749,363.030789253274,363.999502552668
"121",2003,"IDAHO","16011",-13.0873915280681,325,60300,333.906249257685,341.695719284744,350.246336676724,330.171418931832,336.147197958618,342.781506179299,330.131808462339,336.309247175009,342.589421987115,332.306872742381,330.671034350319,336.682123059789,343.1725115549,332.726872834989,332.923827992859,333.48260205109
"156",2003,"IDAHO","16043",-34.0873915280681,304,28600,307.426502640301,314.529175958158,325.054955531337,302.736329005731,309.88675740844,315.791602634698,302.727891721755,310.235067434385,316.045371419837,305.230533361776,303.509996956501,310.848154302743,316.848742948367,305.833038249957,306.165836697321,306.974493201738
"191",2003,"IDAHO","16065",-28.0873915280681,310,31300,308.760797199699,315.622947506535,326.501702180308,304.422915275301,311.758136610002,317.741904203157,304.686465489043,312.533206781454,318.391691849,307.807116316771,305.251059839557,312.91568274789,318.999709280265,308.200506564279,308.849119787669,309.437832641384
"229",2003,"MINNESOTA","27119",-113.087391528068,225,6500,227.554878145239,217.750329500732,226.545222342227,221.652409021028,227.26702898146,216.956400562749,221.72343744766,227.406053475665,218.33396120387,221.148928160016,222.278396804706,227.59554291127,218.794456902883,221.567274136374,221.837148829969,222.404097005201
"262",2003,"MONTANA","30047",-23.0873915280681,315,2200,311.390379184395,317.284654989831,319.47452737422,307.73904804497,309.457878312119,313.021352530045,308.227274559502,309.839583710284,312.789771015343,305.847761190543,307.877036459057,309.059852661426,312.538849076597,305.506873866885,305.981432760877,305.61722405956
"296",2003,"OREGON","41059",222.912608471932,561,10900,560.356049966542,568.05165856187,562.874190645853,561.389004756196,558.771368960725,565.039920198244,560.864941783245,557.378144338897,562.353214997813,558.562228699229,560.387380075848,556.774030563447,561.967931439618,558.274102592138,557.324287256366,556.826266968176
"326",2003,"WISCONSIN","55097",91.9126084719319,430,23750,431.363462682396,423.128912508263,428.938692438698,425.644135474822,428.752898328823,419.337931985715,427.182311117332,430.996341592142,422.624340732859,424.612772928611,426.754421910062,430.017991642328,422.207100868917,424.055391141912,425.932042875123,425.491485191028
"360",2003,"WISCONSIN","55067",11.9126084719319,350,11500,353.25155638377,346.86122398405,350.117642826056,348.432690103089,349.870727645042,342.069899545908,349.974391221453,352.045354495164,345.041700688646,346.634375381264,349.405711710654,350.961208784227,344.502147812674,345.968550663901,347.778302651611,347.191211950714
"384",2003,"COLORADO","8023",36.9126084719319,375,4600,386.698492216861,398.317834193872,405.845074387338,383.541990443453,388.202951115091,398.443291935302,383.461724066088,388.894608266746,399.155909979359,385.672027698425,384.814803983078,390.415673893031,400.489879937716,386.726288691352,387.147856753267,388.540209211004
"416",2003,"IDAHO","16005",-28.0873915280681,310,3800,358.81797603305,367.294876899802,375.957189288968,355.326364566329,361.524074016776,368.930175053161,354.952568893442,361.19413383079,368.173376119605,357.522843472335,355.676115633511,361.806742299201,368.926798793706,358.134622031046,357.950223063809,358.697794370279
"450",2003,"IDAHO","16019",-52.0873915280681,286,29800,300.02743248057,308.66161612294,318.028402703676,296.367034733421,302.895103554544,310.512376613018,296.238427617687,303.018896617776,310.278905093786,299.111753703151,296.92227373694,303.587137041339,311.000890976543,299.655984095561,299.802180028607,300.510884631897
"484",2003,"IDAHO","16029",-68.0873915280681,270,7400,278.209407720139,286.513725190023,295.833392213618,274.585405468853,281.129249971593,288.457810846586,274.184642676782,280.867373118352,287.905291271264,277.076160488155,275.072451061555,281.687045886017,288.806566511184,277.818443400754,277.663300761341,278.580000057508
"518",2003,"MONTANA","30031",-13.0873915280681,325,3820,326.559964736213,332.21092591667,341.120948297546,320.994347397008,326.68365563596,330.440296819193,321.596374195175,327.890272043846,331.779795052949,321.881851561684,322.112131254857,328.114432919873,332.328225711247,322.189816274026,323.197887613031,323.729193023386
"551",2003,"WASHINGTON","53025",241.912608471932,580,34500,595.028653079557,600.062853550739,593.323928829857,596.472860423008,592.989674318344,596.754007639804,595.924008634917,591.293668286881,593.694836265268,592.88567205558,595.092434489761,590.246964583703,592.965953906756,592.32870604879,591.201248250272,590.338299212287
"583",2003,"IDAHO","16067",43.9126084719319,382,27100,398.092729155359,406.068169229869,411.313776535185,395.741072978837,399.750983855416,406.614729530832,395.603950209837,399.504245122174,405.658808811852,396.966522806227,395.759585044855,399.480039222044,405.886343768255,397.105783355631,397.013255707716,397.176310315425
"639",2003,"IDAHO","16081",-105.087391528068,233,7000,235.690407281989,244.298544798589,254.200668983305,231.595920815826,238.387210374136,245.850792833795,231.394552863219,238.493642256507,245.749927939663,234.173060213354,232.30008288037,239.311690041193,246.672190574424,234.899367664541,235.019289329348,235.954512719583
"671",2003,"IDAHO","16031",54.9126084719319,393,28500,407.183350694324,417.783922463933,422.364099932104,405.115953014496,408.777991582001,418.004027878731,404.537061097209,407.945257441156,416.339895041586,405.849359373111,405.065706580727,408.406957955027,416.918430796935,406.342551990133,405.772837620132,406.316224718409
"701",2003,"IDAHO","16047",41.9126084719319,380,5800,421.512299709983,431.011185049647,433.749822069561,419.890989613448,422.435236658219,430.518056297916,419.48252794455,421.617846523558,428.693996424354,419.927961252894,419.571636493578,421.543971544459,428.863734761472,420.057282643031,419.543325132779,419.634484009418
"733",2003,"IDAHO","16053",61.9126084719319,400,8600,414.322605541802,423.23053552504,427.26578610629,412.629985052576,416.019466555798,423.822852612126,412.077328869562,415.101959483005,422.046354052586,413.365791862934,412.380722782729,415.298396763845,422.40779955784,413.681216286009,413.069378228469,413.382065624431
"760",2003,"MINNESOTA","27089",-178.087391528068,160,2200,202.828473101284,193.553372180747,198.707224094142,197.365271433258,200.445972829085,190.066167735681,197.220509715531,200.212789112253,191.098956621545,194.564202560682,197.932519893845,200.628028761444,191.688776718852,195.138050531512,195.103631708084,195.824357828474
"787",2003,"MONTANA","30001",-28.0873915280681,310,740,327.107615736032,336.413805472221,341.403779397674,322.371468023357,325.699421344688,332.322272769791,322.37306237616,325.85395271188,332.21043384861,320.927217553772,323.092881549102,326.367430831795,332.954002089951,321.484048105233,321.689087352421,322.422007490406
"812",2003,"MONTANA","30057",-23.0873915280681,315,850,314.920742772799,324.642731051249,331.116209037844,309.885259313443,314.10370075186,321.261907617019,310.043558613317,314.614808699324,321.579344007224,309.32642027495,310.817487100887,315.190430294092,322.380591351319,309.900904578334,310.360764328738,311.151879320936
"843",2003,"PENNSYLVANIA","42107",-94.0873915280681,244,1860,286.205966447884,281.036543265676,285.457815748454,281.173913626841,282.876877619305,276.351840551526,283.993489063261,287.145564175782,281.445648022164,281.190974162967,282.836490908434,285.376554030142,280.394562954446,279.87971784558,283.249978770133,282.06649404802
"872",2003,"IDAHO","16051",-5.08739152806811,333,32000,349.080779062594,355.610294855766,364.762845921472,344.975072467587,351.259352123106,356.687619100788,345.019588512294,351.579511902585,356.820056315887,347.170207325576,345.583953288034,351.959115618271,357.418315879733,347.5970778023,347.916848529203,348.501599395193
"903",2003,"IDAHO","16077",5.91260847193189,344,36600,360.27754092343,369.034630432599,376.23160181556,357.1568858237,362.444474691033,369.988335001808,356.796685544908,362.019795849436,368.992762604563,358.738163687433,357.352672755387,362.441398090932,369.592671862914,359.219192404591,358.97678175973,359.550866518637
"934",2003,"IDAHO","16083",81.9126084719319,420,16500,409.222205722014,420.072351348288,422.906876094557,407.32059993952,409.998562959789,419.138833342786,406.513295941621,408.642149524553,416.778681524194,406.78386832551,406.980081281995,409.010421842591,417.297258280202,407.264438442785,406.329753731817,406.805800635378
"965",2003,"IDAHO","16027",124.912608471932,463,8800,458.87217299137,469.731612517027,470.332597231165,458.28428141398,459.564532998651,468.988562738969,457.867253159697,458.585767810725,466.669459273026,457.973208942795,457.679841151087,458.236003399427,466.593527425486,457.890694295546,457.259881689451,457.066744937769
