"","year","State","FIPS","yield_ana","yield","area","A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P"
"14",2003,"COLORADO","8003",11.9126084719319,350,21500,358.351039443339,371.011521043945,373.922026352361,357.577887021511,358.471508970545,369.045960804031,356.769708936818,358.425799086985,369.792843757796,357.923069312372,358.683883318321,360.400398697517,371.920778420822,358.790852550665,358.503727764355,360.478662804773
"49",2003,"COLORADO","8105",31.9126084719319,370,21100,359.512210257694,371.318813947018,372.484051910496,359.322334336507,359.500730922339,369.742081833049,358.894231928693,359.658425129335,370.152914840116,359.432992539478,360.093552312297,360.894800916478,371.399913369291,359.915644363322,359.850003591796,361.086772386706
"85",2003,"COLORADO","8109",16.9126084719319,355,17400,359.496673412807,372.262510019131,374.382730918325,359.041378677485,359.637461699467,370.558658444046,358.619494501896,359.909376795037,371.37033272396,359.528171850618,359.991846562939,361.325853037699,372.811822082715,360.023884448959,360.056142745184,361.472976052505
"121",2003,"IDAHO","16011",-13.0873915280681,325,60300,334.633401905549,345.267649349599,347.759294909916,334.255422817775,335.020438290592,345.52853634875,333.377965806479,334.289323799529,344.071664281132,334.152780685182,334.529119700278,335.476036913726,345.269371714825,334.986594176816,334.227382471727,335.414157776856
"156",2003,"IDAHO","16043",-34.0873915280681,304,28600,306.426732598351,317.178996642144,320.770226268788,305.749263786937,306.99157702654,317.681845154147,305.359438591734,306.758228783189,316.948956945588,306.433160215971,306.071272521473,307.4955790195,317.580720678931,306.822119643909,306.59280639978,307.330032606048
"191",2003,"IDAHO","16065",-28.0873915280681,310,31300,308.008044691262,318.651730933529,322.284321844863,307.693541971362,309.386270213064,319.985453537626,307.146219830131,309.012899755372,318.984487395038,308.830477804839,307.966599749403,309.864340020003,319.765134670406,309.353553382378,308.950004366159,309.80146560229
"229",2003,"MINNESOTA","27119",-113.087391528068,225,6500,228.771764043533,224.340801815806,226.173045709923,227.601267379555,227.999681716705,223.425045125124,228.018602758326,228.421385407892,224.89225136354,227.891509703234,227.814434538437,228.212308914911,224.718663070244,227.534555481951,228.062527969639,227.852966649395
"262",2003,"MONTANA","30047",-23.0873915280681,315,2200,308.995227009514,317.552093315068,318.201855735483,307.310581763265,305.31559662028,313.753367558942,308.068307946448,306.088457157728,314.531327673954,305.390165949644,307.654380505032,305.652294495046,313.759548336805,304.755991469502,305.650170697083,305.213394326243
"296",2003,"OREGON","41059",222.912608471932,561,10900,561.010103495861,569.005123632067,564.114690606025,562.528909917208,559.759217252209,568.803772214481,563.116497794868,560.029108859931,566.896624597043,560.775459475008,561.857234252131,558.722123465027,565.119534031658,560.172304554172,560.416773129895,559.110128618535
"326",2003,"WISCONSIN","55097",91.9126084719319,430,23750,430.040264840217,425.313181161597,424.704822622566,428.457321815283,426.526182783822,421.715586253597,428.911608521083,426.85020833775,422.961634686428,426.26735414725,428.611549126736,426.530532211192,422.658571925215,425.888993643396,426.38186895921,426.061554507292
"360",2003,"WISCONSIN","55067",11.9126084719319,350,11500,351.732835687132,350.059116873811,348.203751248073,351.074389668225,349.04229179419,347.252217095415,351.181667736385,349.065215114092,347.538579324504,348.880089127407,351.119080541365,348.990270886623,347.482115719781,348.80486328449,348.895047276909,348.819876034329
"384",2003,"COLORADO","8023",36.9126084719319,375,4600,388.520909033944,401.258583219832,404.28490859802,387.677133999179,388.524154278619,399.416566499316,386.900915157203,388.435101193753,399.958900598794,387.925930231043,388.703454736759,390.294258375236,401.939369220382,388.755699219404,388.461428920397,390.320841631949
"416",2003,"IDAHO","16005",-28.0873915280681,310,3800,358.027977930633,370.866463255974,374.067983915682,357.788265237455,359.102944186244,371.810655446233,356.849662429442,358.360092073282,370.167366025117,358.252275880208,358.091450351911,359.642920931443,371.43088144169,359.140963532561,358.344082499581,359.627043877666
"450",2003,"IDAHO","16019",-52.0873915280681,286,29800,299.992600439331,311.924090921826,315.609500549709,299.705200968941,301.397711624951,313.199872424711,298.976716675088,300.877388853947,311.961205324833,300.713189234041,300.021266464191,301.959368737454,312.996415030116,301.407627022398,300.839002554009,301.921062320557
"484",2003,"IDAHO","16029",-68.0873915280681,270,7400,278.093891625738,290.258055045473,293.781394168842,277.825621812244,279.427717932462,291.326703808802,277.098157117494,278.948420439841,290.197340877571,278.782113257861,278.188379566167,280.077168522056,291.286362147552,279.481669883504,278.935255576435,280.064121442893
"518",2003,"MONTANA","30031",-13.0873915280681,325,3820,327.551301507136,334.638413444942,338.313525383177,325.798202286546,326.231293781191,332.751242997751,326.020951864748,326.685134161958,333.84122807989,325.86582315571,326.409819670179,327.086277052745,334.132639176765,325.736176915683,326.252091816435,326.652727606912
"551",2003,"WASHINGTON","53025",241.912608471932,580,34500,593.232105876835,602.018721466906,597.046643739157,594.99625136593,592.38843173719,602.231785616489,595.758319636585,592.855751869925,600.422428054007,593.671566793422,594.297543180899,591.342887942323,598.375927128347,592.902726604437,593.31846426094,591.806012832489
"583",2003,"IDAHO","16067",43.9126084719319,382,27100,396.580119748065,409.494167780557,409.52355042972,397.25275720975,397.102699898196,410.261487483485,396.556205226282,396.447947243195,407.962355916339,396.781432052853,397.199237962305,397.108820543781,408.476126568493,397.413648648969,396.675768664438,397.337012763833
"639",2003,"IDAHO","16081",-105.087391528068,233,7000,235.68043169885,246.90726142,251.360226558468,235.073707263592,237.031511822175,248.155029448637,234.350372963992,236.506801507361,247.09909671088,236.20723797994,235.436430132128,237.632270488399,248.19779289825,236.901639770172,236.362563646311,237.48798204692
"671",2003,"IDAHO","16031",54.9126084719319,393,28500,407.624243892191,421.424781845421,421.270798011305,408.483163382985,408.334353733359,422.429914779931,407.585831197352,407.47084755918,419.695264209862,407.902284388352,408.390459660396,408.29788475174,420.395948121361,408.713658319026,407.75231081086,408.579807368365
"701",2003,"IDAHO","16047",41.9126084719319,380,5800,421.112495260563,434.599418881796,432.926774268489,421.93430813777,420.614861564063,434.34077185872,421.505367782779,420.192591195629,432.108972610191,420.608617194513,421.813895932955,420.504309889972,432.184720855526,420.995467285235,420.481078335057,420.7932039201
"733",2003,"IDAHO","16053",61.9126084719319,400,8600,414.251827119085,427.327269743272,425.947006510503,415.424251139317,414.728122595619,428.186684495307,414.7741150956,414.066414440205,425.523386064335,414.6321732138,415.213266108201,414.515474598669,425.782302600813,415.205546517338,414.434277804499,414.883862960698
"760",2003,"MINNESOTA","27089",-178.087391528068,160,2200,203.14592057131,199.983866365797,201.935888718416,202.148119518489,202.765908482707,199.372038477359,202.245551380902,202.912027697571,200.413670977263,202.462894222818,202.390539043228,203.063128549518,200.65729754137,202.400919396564,202.619820580547,202.770564987157
"787",2003,"MONTANA","30001",-28.0873915280681,310,740,331.309992609672,341.325164782044,342.067141103536,330.626415108224,329.818796585256,339.355494388523,330.266514186339,329.642673201162,338.832944257309,329.369591520447,331.007288756122,330.400387343754,339.518185788962,329.753573000627,329.547518582931,330.305201174803
"812",2003,"MONTANA","30057",-23.0873915280681,315,850,318.000499530433,328.420263998777,330.258860486942,316.842879718175,316.347230730247,326.0770646361,316.68345719311,316.449457248295,326.224628078989,315.929687870817,317.401024887419,317.184773665802,326.863554274019,316.149651304618,316.236334819098,316.971465835075
"843",2003,"PENNSYLVANIA","42107",-94.0873915280681,244,1860,285.270578944206,287.138752913417,290.313846459084,285.596568594149,288.412248699826,289.574234932405,287.739850899543,290.981889188015,293.251546153965,290.674317158578,285.952933361715,289.162151575586,290.959872482394,288.723787643221,291.15013216343,289.330393070999
"872",2003,"IDAHO","16051",-5.08739152806811,333,32000,348.917747248385,359.047885154846,361.393650383868,348.892910417136,349.916605447786,360.254864535378,348.191922738234,349.27924034085,358.615276830395,349.285958887029,348.987165569626,350.101362100664,359.378401991451,349.933322985096,349.27644119173,350.098657440365
"903",2003,"IDAHO","16077",5.91260847193189,344,36600,361.577772489577,373.084484482453,375.725021600121,361.591246642367,362.801670699139,374.454985773683,360.526493917373,361.832279014753,372.340728194682,361.874729589384,361.727130892072,363.071987126554,373.586654291027,362.859604348051,361.852766578935,363.09264883856
"934",2003,"IDAHO","16083",81.9126084719319,420,16500,410.178362376335,423.424693620576,421.474241758557,411.171739882561,409.765257857516,423.678486496848,410.589131512488,409.052173846561,420.736223754134,409.599240736242,410.855223026143,409.319220221937,420.7631318074,410.104400362377,409.33741290548,409.604856679818
