"","year","State","FIPS","yield_ana","yield","area","A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P"
"14",2003,"COLORADO","8003",11.9126084719319,350,21500,357.429207097608,357.542004276399,358.514550103653,358.477528208677,355.187116668242,355.606469465642,355.930866912277,356.13147358971,355.496742226052,356.450929629646,355.648152919112,356.526464029129,355.798938086851,356.66715087275,356.301800542153,439.477842526806
"49",2003,"COLORADO","8105",31.9126084719319,370,21100,361.463413166408,361.791656307516,360.264807689959,360.618495599464,358.51145109118,358.308746898678,359.186358546841,358.57740904925,358.877615315577,359.6312478481,359.502684791096,359.824660343061,358.14541387826,358.999486857828,359.941684995955,392.131970706329
"85",2003,"COLORADO","8109",16.9126084719319,355,17400,358.874946945442,358.468630598903,358.122359363599,357.715680778202,357.924733179753,357.6853970193,358.221391825362,357.862749949304,358.295405557899,358.714430085461,358.390358487126,358.80364873475,357.611474818127,358.082101939263,358.762265590681,387.97883890671
"121",2003,"IDAHO","16011",-13.0873915280681,325,60300,331.063204389132,329.602191838169,336.518159477253,334.679649635511,329.807473938157,328.722966456902,330.934020451286,329.565920427064,329.161451365536,328.655593493164,330.048671310984,329.359695870245,330.706188595845,329.809118902082,331.83086638065,453.829682127519
"156",2003,"IDAHO","16043",-34.0873915280681,304,28600,306.601055696428,306.78275446478,309.374774265168,309.393709147773,305.522039864647,305.296088640328,310.302238088293,309.199617405687,305.429436888733,306.045829125369,310.135200204447,309.902828578946,306.281285080535,306.754082003595,311.806937460086,416.536350926053
"191",2003,"IDAHO","16065",-28.0873915280681,310,31300,307.285949740763,307.186228727357,310.534275924263,310.134186494694,306.079158187015,305.675962428018,308.213012145447,307.085381892708,305.826411475917,306.626178632848,307.989164836901,308.02410756002,306.875814100917,307.443864302742,309.517020330589,445.476188885283
"229",2003,"MINNESOTA","27119",-113.087391528068,225,6500,229.310730913207,231.741837873705,230.03761816817,232.426895536433,221.577103752172,223.617463161207,223.052627167782,224.808324745003,221.767411514624,224.423763785215,223.727997681364,225.983116349415,222.037924525234,224.649952021665,224.247123200925,330.797167002254
"262",2003,"MONTANA","30047",-23.0873915280681,315,2200,306.856301720031,307.219467630221,309.805326354604,310.001534339981,310.267738062737,310.773221851574,313.992690058683,313.944840316485,310.759531418215,310.973389865869,313.82175562842,313.810393919023,311.822156709786,311.964694209273,315.49839463412,426.271507935934
"296",2003,"OREGON","41059",222.912608471932,561,10900,561.381276419114,561.718913153829,563.441755267467,563.572477722796,562.664867935723,561.859501959104,564.619519294894,563.266163701028,562.752056567951,563.25743021084,565.383788068015,565.100016119455,563.639965074197,563.918159261971,566.857018838912,468.588339915015
"326",2003,"WISCONSIN","55097",91.9126084719319,430,23750,434.397913808268,433.91339815664,434.72845818974,434.272295835014,430.271552232659,430.405387966264,431.458370595077,431.749731016723,429.874530138527,429.593354686098,431.094772120089,431.028282123282,429.800620591553,429.403056618957,430.603709400107,309.677656121294
"360",2003,"WISCONSIN","55067",11.9126084719319,350,11500,353.7769456799,353.161288143001,353.479465905545,352.955089236868,351.128992341175,351.105432555829,352.709769474978,352.783009149543,350.388441344641,350.319975185442,351.998812910667,352.065128388143,350.221036418337,350.149334976036,351.267270709535,313.886339285358
"384",2003,"COLORADO","8023",36.9126084719319,375,4600,386.260006366213,386.687357749861,385.584094356887,385.914978626583,382.748034931107,383.610858875787,385.275827112148,385.899670211506,383.18961481692,384.686248779075,385.334454587451,386.754445265255,382.461330992356,383.954822104525,385.715165019499,404.43903887912
"416",2003,"IDAHO","16005",-28.0873915280681,310,3800,354.930681585698,353.987678046365,362.992689665731,361.519119984459,355.44279553344,354.663642543649,356.636715200299,355.475870418178,354.859592803841,354.750088123681,355.783832988759,355.428796984487,356.947773419143,356.243844113525,358.400297294615,439.012230340949
"450",2003,"IDAHO","16019",-52.0873915280681,286,29800,297.138986308548,295.878194782158,301.234148969451,299.699508552604,296.46299284786,295.403765809502,299.825885831406,298.406855686535,296.137400321144,295.811390760265,299.406145913726,298.806107308966,297.277391824739,296.657694450806,300.961420595007,423.006884460474
"484",2003,"IDAHO","16029",-68.0873915280681,270,7400,274.821088398247,273.829461116679,278.410901852678,277.238808852752,274.188197125541,273.481047418961,278.523341231722,277.564901378288,273.897567026743,273.792406129757,278.171969441967,277.960908647975,274.822484794813,274.498633699556,279.553701232859,412.980769756462
"518",2003,"MONTANA","30031",-13.0873915280681,325,3820,326.95086744787,327.524706867498,327.800085260685,328.272296674485,323.276201057121,324.029754005761,327.179379517823,327.290349088216,323.821286811878,324.684691833514,327.330022661716,327.681975545371,323.888067143121,324.70563507428,328.7280764255,376.135883588915
"551",2003,"WASHINGTON","53025",241.912608471932,580,34500,590.420434787383,590.490390295153,592.715043176981,592.455778777142,595.27436450804,594.666554422441,593.003907075106,592.083024092021,595.372005899684,596.212362904741,593.928257730524,594.354321865849,595.110421285649,595.616763143494,594.915531428661,487.527011168403
"583",2003,"IDAHO","16067",43.9126084719319,382,27100,392.303509758927,390.254772781512,399.719308329611,397.195965257158,394.952021864765,393.212526080644,394.466823830361,392.721107357368,393.902313798006,392.868233341344,393.48858393755,392.568145023104,395.364407968399,393.695053496544,395.509966371369,461.59486375308
"639",2003,"IDAHO","16081",-105.087391528068,233,7000,234.630052469908,233.231373380278,237.515596180791,235.948530486707,233.116408927179,231.746113683619,237.805647480454,235.87430909659,233.073781205476,232.353040034743,237.63647645537,236.384909028678,233.86221140434,232.938017496166,239.158305933061,400.098219428057
"671",2003,"IDAHO","16031",54.9126084719319,393,28500,403.44742615713,399.357246645629,410.974130806639,406.481496627493,404.030635795527,400.356962797792,404.936224278101,401.391758403173,403.051165842185,399.880878055577,404.066244516142,401.058377291269,404.616092376873,400.745146906056,406.125115471984,425.512607798167
"701",2003,"IDAHO","16047",41.9126084719319,380,5800,416.002235380007,413.954473500986,426.631466453097,423.870158334419,418.400696799055,416.713023345088,415.489191414564,413.87612669465,417.546311291664,416.371635876559,414.688483324296,413.721766708922,419.330401747304,417.177496721086,417.635506089277,456.799860255244
"733",2003,"IDAHO","16053",61.9126084719319,400,8600,410.388890440738,408.846398162433,417.400260862454,415.423703670886,411.591821137232,410.135676152365,409.859791814822,408.433285640885,410.506510291677,409.823949771345,409.028873421606,408.442409486171,411.485837449938,410.131653604195,410.640365382117,454.016372899119
"760",2003,"MINNESOTA","27089",-178.087391528068,160,2200,206.602620382782,207.803190049738,207.627274652036,208.849223731844,198.810830782194,199.306030585774,200.759998401723,200.871824051233,199.107900129519,200.191077682106,201.455871699443,201.973405875302,199.450066000444,200.500922359024,202.055056411875,340.731831207374
"787",2003,"MONTANA","30001",-28.0873915280681,310,740,330.776435901231,329.841881223967,331.241389588703,330.277599136485,323.587347717808,322.655901334169,332.136610577895,330.699630691974,323.829035456092,323.575160346705,332.295161994152,331.479435870645,323.907397201264,323.586113419233,333.551901228181,363.352767280738
"812",2003,"MONTANA","30057",-23.0873915280681,315,850,317.19465370226,316.478298430561,317.959789470649,317.231325361474,311.575738882925,311.070686038421,318.126231896413,317.207026226775,311.907288005345,311.634810760691,318.171099782772,317.567873954319,311.916291685527,311.587297641575,319.418544819281,363.371265311089
"843",2003,"PENNSYLVANIA","42107",-94.0873915280681,244,1860,265.598874445809,265.513574078457,263.432717159404,263.184080187583,267.422947040195,266.113219780744,268.716962940079,266.611386466847,267.674807307681,268.608217103317,270.420538070196,269.927809945971,267.690288861053,268.48341172416,274.117771054198,327.859227202203
"872",2003,"IDAHO","16051",-5.08739152806811,333,32000,346.902326794224,347.147768286962,351.337408597755,351.233451939646,345.773795702188,345.771650509891,347.162572119114,346.532280276088,344.967790799859,346.081247228122,346.518326368667,347.037279580202,346.406409232429,347.229794616008,348.302041139653,470.068142184241
"903",2003,"IDAHO","16077",5.91260847193189,344,36600,358.804562198054,356.698329178123,366.411947054198,363.81124596058,357.023320181528,355.049226963499,357.481318217617,355.205331969316,356.248197003051,354.901023713399,356.505880207135,354.893316581685,358.174961375404,356.226495234804,358.966026020684,446.251745935193
"934",2003,"IDAHO","16083",81.9126084719319,420,16500,404.815144418181,401.933268809782,412.896812120623,409.537887542386,405.966865212236,403.540580418818,406.353897807321,404.056800701424,404.863763685875,402.958836416425,405.562046125046,403.868184290481,406.372536257635,403.722260605985,408.030318500268,442.427269366694
"965",2003,"IDAHO","16027",124.912608471932,463,8800,460.999627890453,459.839032479424,465.645730606424,464.155748528937,456.520102349248,455.363659711452,452.247936940383,451.075840642327,456.19895107732,455.685348557732,452.434042035393,451.761813216812,456.447329127672,455.379364986319,453.277420001489,440.539798519369
"996",2003,"IDAHO","16039",144.912608471932,483,8900,464.259487020278,462.178237129406,470.786354207971,468.358398879329,461.90611332866,459.982355114189,462.984008620623,461.16041677786,461.311598333792,459.795454601363,462.415982957279,460.99510908295,462.598163117371,460.507819635755,464.134462283154,436.869983469874
"1027",2003,"IDAHO","16073",111.912608471932,450,3900,449.182422577003,446.652197219779,455.955936883837,453.036774627136,446.781865590701,444.31356677879,447.667792667115,445.400579725095,446.001862760761,444.297575893494,447.34309864522,445.759874327828,447.036061841808,444.605125964145,448.995961750498,436.358002302315
"1058",2003,"OREGON","41049",217.912608471932,556,12900,592.855342874706,592.328484004614,595.478874148994,594.689428118346,595.135686101644,593.924616685191,596.17941429212,594.644126490746,595.012442393279,595.045704979521,596.821710401086,596.371695708121,595.729539616111,595.448749489492,598.318948318379,477.890696208158
"1085",2003,"OREGON","41001",126.912608471932,465,2400,430.35045977519,430.08530290544,434.365678046434,433.996620805018,430.137965816025,429.546363491071,434.512589717426,433.836009046806,429.46334956016,428.935790166197,434.094499604672,433.607841132083,430.920697308573,430.188950277126,435.513438220931,427.248736447724
"1110",2003,"OREGON","41061",6.91260847193189,345,1600,408.238087458954,407.763077014837,410.260414675996,409.743723013882,406.794684184488,405.722091730306,412.82780320695,411.544273963984,406.639047396057,406.043059916195,412.882224903173,412.01779522152,407.899413816003,407.203016622652,414.119352190138,420.242653370846
"1137",2003,"OREGON","41035",85.9126084719319,424,6500,432.061893004857,431.979410145797,432.888696750389,432.796033005414,431.182618962487,430.329286915182,439.012941430553,438.173388035185,430.262862306381,430.333187902092,438.982661034237,438.981571851036,430.899773435908,430.929174297006,439.579787048985,431.943575536399
"1165",2003,"WASHINGTON","53057",31.9126084719319,370,10000,383.470979260997,386.772204148555,381.83951022094,385.34588354532,382.58553013687,384.072996837806,389.570275702905,390.043697084965,383.050251860629,384.90975540204,390.075409387532,390.889729299419,383.689132171378,385.839846652103,389.773524046883,426.960857900234
"1196",2003,"WISCONSIN","55001",106.912608471932,445,11200,454.352689335735,455.685720683535,454.346061877532,455.623584922657,451.901298532057,454.149637923089,453.412466992832,455.659505203804,451.447440434275,453.053850716704,452.659476915536,454.491764354027,451.086339268982,452.594162630885,451.621020345038,311.874569442072
"1226",2003,"MINNESOTA","27141",31.9126084719319,370,7400,385.164026789979,390.022471366976,384.958918174137,389.754314531521,382.042902351938,386.857490692415,383.386509367576,387.582383872791,381.315269311467,386.131851636147,382.720034546873,387.15835653817,381.255609472683,386.105463423363,381.707580251972,322.500760065666
"1252",2003,"MINNESOTA","27153",61.9126084719319,400,1900,407.903074812029,410.623594993392,407.105094131869,409.845749238793,409.855099201888,411.704462098275,410.532635842376,411.115260144743,407.956563256876,410.587250080428,409.307316137504,410.628512277776,408.349046141087,410.935607646447,408.092624246313,334.251129929386
"1271",2003,"WASHINGTON","53021",216.912608471932,555,32000,593.918599727181,594.250428244425,597.442779179998,597.360776969844,598.836978243912,598.805622226699,595.334267477279,594.888163683494,599.133857715394,600.207401487736,596.167992138158,596.804198689561,599.439353354346,600.126224109195,597.500021174169,485.155878308786
"1301",2003,"WISCONSIN","55137",96.9126084719319,435,13600,454.563110676289,455.175689964998,455.007138768952,455.597120344233,451.368457951485,452.764823287849,452.699548421056,454.223808758103,450.438628613138,451.472774607331,451.828574839154,453.171596141024,450.537372467532,451.493482067221,450.980458328318,306.770971089511
"1330",2003,"NORTH DAKOTA","38043",77.9126084719319,416,8600,379.805285840851,382.105753052341,379.137053684229,381.47206291578,379.80372318354,382.414796978891,379.646833516127,381.575310412209,379.590507330942,381.060633638744,378.968446182048,380.148765781412,379.048688540113,380.522031790809,378.504037408563,343.280241647934
"1345",2003,"NORTH DAKOTA","38035",-64.0873915280681,274,15400,289.584699989502,292.760070749276,289.976128624451,293.067065514099,279.252701383612,282.122963957384,280.826282199687,283.53151945647,279.944078109615,283.503138734543,281.895717189289,285.09684616017,280.084119203835,283.586654139363,282.638550485617,326.659437493095
"1374",2003,"NORTH DAKOTA","38067",-146.087391528068,192,24900,224.415827926892,224.828682859583,224.596038857029,225.125996360997,215.298934359933,215.805477171729,217.354259389437,217.790464021357,215.595040369075,215.846512567428,217.465664439943,217.616477666636,215.018584906015,215.217621783876,216.933067732679,317.286539545019
"1403",2003,"OREGON","41045",56.9126084719319,395,5800,430.487710685075,429.246521252921,437.801248861228,436.125492920354,430.325414938878,429.228493398934,430.442351305117,429.383399214039,429.184234684743,428.281173208282,429.633051131107,428.86551216563,430.097013380966,428.507499252691,431.689904048572,439.196635764656
"1429",2003,"WASHINGTON","53005",301.912608471932,640,31500,631.110425662589,631.024019775861,632.953174858309,632.573108468799,631.586047444465,630.711046591638,627.480108002028,626.364424622317,631.93692256003,632.756412187104,628.828631015944,629.129928367907,631.595646330909,632.059710936754,629.50917909411,476.406796560284
"1457",2003,"WASHINGTON","53077",56.9126084719319,395,2000,412.818827214478,412.62476538439,413.259838893023,412.93428575362,416.446264804635,415.588276610489,420.571095069748,419.430769952352,416.681308181052,416.909065818432,421.287823126585,421.136532663848,417.175308887029,417.344307628346,422.322199982466,484.522637575753
"1485",2003,"WASHINGTON","53001",246.912608471932,585,30500,605.319019788348,605.677294650321,608.768721657209,608.737372831018,611.82878775772,611.797792421212,611.039793509769,610.606101087848,611.90008575087,612.953373653617,611.62569391858,612.316950250117,612.446376575984,613.169854919669,613.174662915787,496.309008557887
"1514",2003,"WASHINGTON","53043",261.912608471932,600,5000,555.239870701364,555.4436062344,558.356689745971,558.253168083117,563.110844166758,562.748296152599,564.021747908728,563.158912453232,562.802125475976,563.462117786511,564.206439515536,564.433811191828,563.580324087321,564.011393354003,565.661647182401,490.583472580345
"1537",2003,"WASHINGTON","53071",341.912608471932,680,11000,628.303911503371,629.311692631763,630.697758970756,631.327880504195,629.738681683786,629.56305974482,627.341051360512,626.449430886419,630.25877316677,631.816182787226,628.636368131847,629.184732042786,630.502900534407,631.691550329002,629.827357247955,479.056242273663
"1565",2003,"WASHINGTON","53073",36.9126084719319,375,2000,348.08800980113,351.507067362683,346.141238201224,349.714389458495,349.992271114229,352.090654398524,358.556290635399,359.76221505291,350.33962780517,352.739852864216,358.839454394803,360.433785264287,350.853126916977,353.551155163803,358.289325675421,415.495221266975
"1613",2003,"NEW JERSEY","34011",-107.087391528068,231,800,279.582110018923,279.513909374313,279.216074255083,278.884806052778,273.949062243501,273.254721476622,276.595811409373,275.970242001231,274.57605511748,276.030119582021,279.108730236861,280.022295405883,276.059208479961,277.409372661483,284.140316621694,312.124643253841
"1641",2003,"NEW JERSEY","34033",-82.0873915280681,256,1600,288.573929176704,288.043880820978,288.03063774628,287.294328694217,282.170323386609,281.145838569358,285.254306178845,284.391385405306,283.038095406085,283.919224627227,287.962560764494,288.37464141677,284.389907497161,285.149796113753,292.572458314587,299.749806000622
"1669",2003,"NORTH CAROLINA","37139",-168.087391528068,170,3800,241.079309234734,240.234011495251,242.298970998947,241.29373019382,226.802505621839,226.100626881989,223.753453750044,224.078264264648,228.644810148162,228.996545442476,226.411307439592,227.198084893511,229.566242371874,229.748128790886,228.528645282497,206.402663454735
"1695",2003,"NORTH CAROLINA","37187",-158.087391528068,180,1980,219.926741995952,223.066674548094,220.148215418495,222.751808455868,213.102210046697,216.859946533858,210.247506895902,213.68592003413,213.952462475624,218.464603379127,211.023439984583,215.21663585093,213.855799183281,218.071943615593,210.473863772887,180.192487289301
"1721",2003,"NORTH DAKOTA","38097",-168.087391528068,170,2200,217.555334770947,219.754502297884,217.831855102762,219.989994404802,208.815576977901,211.034862758272,209.779143726252,212.074009912296,208.988947298983,211.759315116341,210.484016198706,213.205732842393,209.243008951588,211.967019754871,210.905494429039,311.785237849396
"1749",2003,"NORTH DAKOTA","38005",-67.0873915280681,271,1100,284.92022680565,286.154297777881,284.495359201693,285.699661630628,281.827402933463,283.753014628641,282.857491132046,284.634663684201,282.303494070102,284.095387729302,283.386703489261,285.085796651433,281.996404907959,283.664791294993,283.293213315966,323.100438592464
"1756",2003,"NORTH DAKOTA","38095",-105.087391528068,233,900,257.59707655694,258.918889906174,257.298561735965,258.642889212109,245.431836275651,246.335501631448,247.753925986463,248.313666409911,246.508698010155,247.670110855937,248.821704372939,249.392213123228,246.210025375712,247.292186069359,249.121514932218,339.145877232285
"1783",2003,"NORTH DAKOTA","38099",-150.087391528068,188,38200,224.489157295384,225.931494149925,225.043440649099,226.508632364574,214.778553086687,216.042308718968,216.505054007058,217.725639792508,215.212038652048,216.805609835122,217.153291233491,218.544170975057,215.183975990161,216.720226659656,217.413738989098,318.33845872556
"1822",2003,"NORTH DAKOTA","38081",-17.0873915280681,321,1400,358.885984070288,360.744817727452,356.948511776602,358.925393493327,359.772276516147,362.296210698709,359.619783834888,361.912930950315,358.944489478121,360.785213665264,358.892619806207,360.918587296287,358.45725186812,360.399867398071,357.57245259162,330.656607108315
"1839",2003,"ALABAMA","1003",-195.087391528068,143,650,188.083769297107,186.272026879833,186.860988468013,185.426128232245,197.099485930283,186.809703237949,196.817775773164,181.413163617108,196.254721463782,189.8937922728,196.240241744933,183.487080449438,196.396727838053,189.915759933229,193.401238468685,216.29027407493
"1864",2003,"ALABAMA","1043",-71.0873915280681,267,150,201.330262702667,200.923774789561,202.671792809111,201.200323837123,195.548869197063,197.029245018197,199.823913138536,201.841066768675,196.309869253199,200.368578146528,200.936064647381,205.109972340934,196.65339168307,200.114313410132,201.463456235562,215.126377352313
"1889",2003,"COLORADO","8125",46.9126084719319,385,3500,384.596690593667,385.092340611061,388.99438396129,389.344088131353,389.245796702498,390.066918886281,390.400920084045,390.720698136354,390.123627232505,390.486389860835,390.99214186161,391.17796262046,391.987335358002,392.228484057316,392.069952753207,378.405869619778
"1904",2003,"IDAHO","16075",101.912608471932,440,2000,455.927896855897,455.379882787685,461.513680167743,460.599618168802,455.216356026797,454.524804400234,450.861359741521,450.054826490066,454.197619527224,453.905533401026,450.320822614056,449.975851287356,454.098645204344,453.209372294123,451.376394521059,440.301593333721
"1920",2003,"MINNESOTA","27027",-113.087391528068,225,3100,237.333904406405,240.919154100003,237.486130787007,241.056641314614,229.468059498832,232.374208420049,229.770630219868,232.187654553548,229.629721662612,232.948554000376,230.346995817304,233.152082913083,229.825797514351,233.15888699026,230.429054621228,332.840373735592
"1947",2003,"NORTH DAKOTA","38049",1.91260847193189,340,2900,377.480687153384,376.844309249505,376.477161661676,375.939826653264,371.806801350805,372.112759195923,372.202703184539,372.573318712854,372.35047624752,371.948490821273,372.471109630867,372.177159515414,371.891306069349,371.440783972943,372.312921750634,329.919459487506
"1964",2003,"NORTH DAKOTA","38021",28.9126084719319,367,1800,362.330136243593,364.043682778869,360.48344991787,362.251595673288,362.325301854869,364.838553167093,362.335986283314,364.530744027444,361.957879852193,363.439089298133,361.632446160724,363.265592229995,361.036444255578,362.56983948779,360.29212771135,330.21312186501
"1980",2003,"NORTH DAKOTA","38073",10.9126084719319,349,2100,391.535912130074,393.167354989828,390.39167638816,392.110418532449,390.434135636811,392.5335227561,390.333322160091,392.083068919021,389.440130002941,390.90728970429,389.377382386504,390.875152025187,389.17055350458,390.697816478372,388.001470234623,324.92687754453
"1997",2003,"PENNSYLVANIA","42021",-75.0873915280681,263,1880,258.446758757502,258.983777247831,257.504024319166,257.742397739327,258.523974147112,259.499597111885,259.59927687412,260.447468414115,259.29535973895,260.950244242611,260.877627064723,262.283477443902,258.71911859785,260.160665571531,263.573286093619,297.241444854301
"2022",2003,"PENNSYLVANIA","42077",-86.0873915280681,252,430,256.34094977939,256.159114811845,254.229602980607,253.923698228669,255.263901285409,253.383697558909,256.577728754059,253.996538241153,255.756817390953,256.941020672673,258.890486750574,258.475091434154,256.153223153936,257.269340456134,262.562738818614,336.509044432679
"2047",2003,"PENNSYLVANIA","42079",-98.0873915280681,240,430,263.655690107191,263.273137263237,262.011213773782,261.468836531237,263.502584832364,262.055172472718,264.313227326946,262.289464553686,264.02335318208,264.955371077376,266.326226159745,265.981779730756,264.175781214357,264.978772397581,269.556794775646,337.642331015317
"2072",2003,"PENNSYLVANIA","42049",-46.0873915280681,292,2440,288.256137220378,287.541176124387,287.845037997968,286.99717994376,286.334050790148,285.995657070068,288.10202895207,287.983346552429,287.21211258308,287.329104623086,289.387256461789,289.604684250212,286.838472624186,286.837584174519,291.996184281575,309.215557208283
"2097",2003,"PENNSYLVANIA","42071",-38.0873915280681,300,695,295.915027447562,294.72812036956,295.128690195772,293.833048726763,292.447405008599,290.36629937947,294.832783210241,292.766328121305,293.096683170778,293.014596389794,297.274703742644,296.555636695461,293.9899261948,293.830043378063,301.56331916008,316.592748936345
"2119",2003,"PENNSYLVANIA","42031",-60.0873915280681,278,300,316.273130893502,315.026982227416,315.034641495694,313.705518936959,313.546528647685,312.555774755181,315.17645816704,314.207186296294,315.615424568426,314.801491576689,317.238034282468,316.354449700445,314.180651400583,313.218523744161,319.38800961716,311.876500769044
"2136",2003,"WISCONSIN","55057",126.912608471932,465,3250,437.795432405327,438.361318409454,437.690413214713,438.273268832207,435.593741304425,437.208193758986,437.053086701569,438.737057439416,435.117655422639,435.734381140564,436.24607203314,437.196591124225,434.721984654595,435.228382024821,435.040555774836,309.825171082631
"2163",2003,"WISCONSIN","55073",36.9126084719319,375,1550,374.899000170599,374.32993574228,375.169320239361,374.689435138292,371.051334369536,370.696256987798,372.588556860005,372.108783335513,370.586049469187,369.938263149837,372.103039370286,371.373258732482,370.355211009022,369.636829804807,371.397808239649,320.460260270009
"2188",2003,"WISCONSIN","55085",-23.0873915280681,315,1650,323.823983971114,324.004320049073,323.027090294046,323.291567537356,321.416400842893,322.018459233651,323.198581123307,323.643323728976,320.779525174704,321.354112986094,322.389098753753,322.846952280895,320.175887902266,320.754287814349,321.224510315157,325.5440519858
"2213",2003,"ALABAMA","1049",-104.087391528068,234,350,213.571284005551,214.367412018517,214.282962826548,213.072629265884,213.202734636247,217.536481574478,216.298180359261,220.334837694853,211.998617635496,221.042595964921,215.313067529029,223.832162908452,212.532280343749,220.711151370928,215.006692408828,269.39466490132
"2236",2003,"MINNESOTA","27097",31.9126084719319,370,2700,460.025201506711,463.813723018503,458.718875540064,462.550873750792,461.769307986971,464.888924646059,462.858844763562,464.784388035906,460.044613984768,463.725706674718,461.619884480286,464.229749215179,460.059882379066,463.803992036105,460.220460342449,340.333352957953
"2251",2003,"MINNESOTA","27047",-13.0873915280681,325,2200,293.048081231105,294.007522407503,292.440024494751,293.481887386576,295.101795204258,297.010298660567,296.813913881813,298.774605104364,293.638626253182,295.049667540609,295.523884422052,297.31568940211,293.565728656227,294.994231394501,293.749052531225,295.941909999613
"2277",2003,"NORTH CAROLINA","37013",-178.087391528068,160,1230,226.439640238446,225.591999656013,225.619641816358,224.492413565602,223.155864369366,223.437127623745,218.412225647619,219.035578157073,223.557044818053,224.394716772175,218.562354467099,219.799145010341,222.909638500089,223.595832841984,217.028013103909,172.068550633715
"2298",2003,"NORTH CAROLINA","37031",-183.087391528068,155,1030,237.581445142546,235.327814662464,240.296662882055,236.725351793844,227.093239185229,227.052214618624,225.510892330946,225.938449078674,227.106778238192,230.018305340231,225.474299920769,228.370874158871,227.654893959818,229.806257109091,226.037760166618,171.593823967911
"2322",2003,"NORTH CAROLINA","37137",-163.087391528068,175,1500,241.009549326264,238.769295519629,242.701812986462,239.856289035619,232.48289783042,231.381110466393,229.231625647087,228.807634851165,232.550584806168,233.417007326258,229.7736101788,230.868407655489,233.406082165297,233.885507109272,229.931785104656,155.664973771765
