"","year","State","FIPS","yield_ana","yield","area","A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P"
"9",2003,"MINNESOTA","27085",0.411552734083798,6.89,1800,6.54029544082051,6.58285294414792,6.59007840751146,6.49146713408773,6.51458017184268,6.55558363039141,6.5695284742038,6.61940103698945,6.62931574539285,6.53644425841802,6.51611061455165,6.54176567781186,6.58171211061956,6.49095185721339,6.56542029350851,6.51532728862179
"36",2003,"MINNESOTA","27093",0.611552734083798,7.09,1100,6.59233338651455,6.64077118462957,6.64559269295089,6.60694036670496,6.62447431207595,6.66394504883576,6.57934944728268,6.62133640487402,6.64253594326863,6.62701266159002,6.57183846437828,6.59243456308887,6.638554053656,6.60461818993814,6.57609684628423,6.57001861323098
"68",2003,"MINNESOTA","27129",0.421552734083798,6.9,29300,6.58384851330944,6.60784860465757,6.61568254164889,6.55125033200989,6.57010522535516,6.59336294943643,6.65046189163327,6.68752891100349,6.68796629118468,6.63705315173221,6.56698820384789,6.5875249606134,6.60983371147381,6.55366110740107,6.64929231274803,6.5691197506367
"100",2003,"MINNESOTA","27015",0.521552734083798,7,10400,6.65312272616523,6.69770843030519,6.70037035997874,6.64661482348162,6.65888866399429,6.69824949464305,6.71968598252008,6.74607360444487,6.76866909475028,6.73361960269397,6.63818343070715,6.65245734956117,6.69527850283249,6.64435405144471,6.7120445382513,6.63611047404931
"133",2003,"MINNESOTA","27043",0.821552734083798,7.3,6000,6.55180491502984,6.58612510771221,6.5663271986031,6.52529845200349,6.51503473461885,6.5466825499164,6.55689827224653,6.55124975108228,6.56490754410012,6.50063234143756,6.53705594771167,6.52938154613702,6.56118398155559,6.50042749110086,6.51823444631887,6.51302819889459
"164",2003,"MINNESOTA","27047",1.2215527340838,7.7,9400,6.56433841339972,6.58274301046062,6.55780272614906,6.55763958636925,6.54052569967735,6.55532206280198,6.64639661703967,6.6263649788699,6.62521465307399,6.61296566655312,6.55158751001498,6.53728619590582,6.55328040372382,6.52788031840574,6.59666689333598,6.52307262726345
"189",2003,"MINNESOTA","27079",-0.248447265916202,6.23,1300,6.60288621165564,6.64477768426751,6.64376393005497,6.55249249895128,6.56345747481113,6.60493566567152,6.62911542946206,6.65621379432486,6.67338333996482,6.57408235827932,6.5850682892806,6.59794037250236,6.63762678253646,6.54595008028976,6.61630969288981,6.57840268273279
"220",2003,"MINNESOTA","27091",1.0015527340838,7.48,2100,6.40386012001211,6.4694825911348,6.46479444960785,6.4157318729537,6.42023897162335,6.47671376644323,6.34870085209167,6.36839257494447,6.41452292447293,6.36865588463408,6.38938133591119,6.39639512457672,6.45993635395304,6.40614916257629,6.3369769754618,6.38048486722028
"252",2003,"MINNESOTA","27103",0.311552734083798,6.79,2900,6.53504351037871,6.52759597746878,6.53185908454188,6.5101544518097,6.52257116773623,6.5164732430729,6.59550545123732,6.62044025817616,6.59560789278048,6.58265026316973,6.52217335386572,6.5359542038737,6.52727343401215,6.5100017788828,6.59109870651164,6.52188606076711
"280",2003,"MINNESOTA","27147",0.121552734083798,6.6,8100,6.37925172517219,6.46602757153361,6.44294976219808,6.39593950536091,6.38389712282076,6.45826208098825,6.41040765784066,6.40403369017544,6.46409815267476,6.41565535702317,6.3617207628528,6.35345942525453,6.43704387207632,6.36669501176327,6.36445616367872,6.33402995039305
"312",2003,"MINNESOTA","27161",0.431552734083798,6.91,6400,6.65583812873815,6.71674787128642,6.69550443181173,6.63929715444284,6.62773437541944,6.68269861466785,6.63424130825346,6.62800907017251,6.66781025791722,6.58859149042263,6.64099609165003,6.63223839662507,6.69044261365167,6.61305783367862,6.59514044074138,6.61577164630779
"356",2003,"MINNESOTA","27037",0.331552734083798,6.81,3100,6.3605169025557,6.40452646612257,6.39463446374215,6.29689591768519,6.30020878908032,6.34464748800437,6.55025429073708,6.56022510775446,6.57306587675927,6.47403499161958,6.34093490677154,6.34657782511284,6.38785212244056,6.28086610382169,6.51406170391287,6.32502190516666
"388",2003,"MINNESOTA","27049",-0.278447265916202,6.2,5000,6.55492175436564,6.61958033918495,6.59852740780247,6.50317199884199,6.49696453860383,6.55823702288898,6.65194643311209,6.65362497079188,6.68465538869077,6.5710499793695,6.53252084528443,6.52969522321651,6.59080123436985,6.47482123877366,6.60235700121604,6.50494467659452
"420",2003,"MINNESOTA","27109",-0.778447265916202,5.7,8200,6.35355146869826,6.39400136938137,6.37673907222843,6.32353674765366,6.32162426208565,6.35774712028722,6.39657422032856,6.40862291652454,6.41548800979533,6.3507040686487,6.32943620596606,6.33134873353585,6.36830853201152,6.29791194371764,6.35433247592252,6.30475289080016
