"","year","State","FIPS","yield_ana","yield","area","A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P"
"9",2003,"MINNESOTA","27085",0.411552734083798,6.89,1800,6.76834586677458,6.37379497989652,6.86313026165929,6.42119851673271,6.91938256415431,6.55693071262306,6.40515072925751,6.90771737236628,6.48049388573267,6.59163265186615,6.40715898428708,6.92993245363471,6.51184056357305,6.64719587997251,6.57364623568487,6.59702186819535
"36",2003,"MINNESOTA","27093",0.611552734083798,7.09,1100,6.84286308594762,6.45662107339019,6.90363143304587,6.53077107651661,6.95506908083391,6.63526822605215,6.47854237633304,6.94016095612881,6.54210024113024,6.65741644939065,6.48217185508444,6.96217565200524,6.57597646776562,6.71838886456181,6.62600167721777,6.65222731056449
"68",2003,"MINNESOTA","27129",0.421552734083798,6.9,29300,6.85321693901359,6.48857002363619,6.89788385165044,6.54026855190557,6.95723797846322,6.64089098672125,6.51953687994145,6.95626239156654,6.57280977211076,6.6737883324078,6.52241443630729,6.97602160820108,6.60364107073354,6.7303985174474,6.6660527957925,6.68851411589417
"100",2003,"MINNESOTA","27015",0.521552734083798,7,10400,6.93015033712285,6.57775678346564,7.0287021147183,6.64954538112725,7.0545936082891,6.76231472703895,6.59870295341205,7.04616787049719,6.67525362492572,6.76786659949887,6.60464857740236,7.06336052824729,6.7092049313134,6.83586527227212,6.75173406838659,6.7769089504989
"133",2003,"MINNESOTA","27043",0.821552734083798,7.3,6000,6.7326345581903,6.38502051947617,6.86462425218083,6.4369327929181,6.89419324040531,6.58303573395415,6.4120638311851,6.87822431700882,6.50030308351929,6.59424485900202,6.41540160777731,6.90569045109618,6.53520063242413,6.66101756871414,6.58082216318539,6.6078048769314
"164",2003,"MINNESOTA","27047",1.2215527340838,7.7,9400,6.83085537674559,6.46665354995233,6.93752314325438,6.53538512382057,6.99749007991197,6.68116895240515,6.49045743665775,6.97584143836935,6.5818927626708,6.70770556023885,6.49342960821165,6.99932457924115,6.61588372165646,6.76562119611332,6.66773191957561,6.69409154856015
"189",2003,"MINNESOTA","27079",-0.248447265916202,6.23,1300,6.78681418982935,6.43280088340995,6.90144761303354,6.48824397748015,6.94068367752362,6.63330101679821,6.45307971448519,6.91932851375988,6.53877328838169,6.64381133516425,6.45694701051911,6.94709024141381,6.5756595986031,6.71004178931722,6.61666493303035,6.64606234141454
"220",2003,"MINNESOTA","27091",1.0015527340838,7.48,2100,6.59929176160397,6.27378801726337,6.7060397201331,6.3493453094494,6.73939374485971,6.47144338787358,6.29277180781385,6.72462509466689,6.37381029223839,6.46564600300023,6.30078391909934,6.74654572524964,6.41396812131125,6.54511519394416,6.45165359327718,6.48190858475269
"252",2003,"MINNESOTA","27103",0.311552734083798,6.79,2900,6.75567374251655,6.34324560094231,6.84892766597502,6.39593866854265,6.89857662671713,6.52402886627919,6.37590371724158,6.88912311559022,6.44630711238023,6.55137391000013,6.37961897739899,6.91148942566438,6.48093360933727,6.61618107578809,6.54281550891138,6.56820497902348
"280",2003,"MINNESOTA","27147",0.121552734083798,6.6,8100,6.68917735878125,6.35560297980817,6.82084964982277,6.4041897271696,6.84734959171657,6.5669218727253,6.37351451546462,6.83073200118937,6.4772735470604,6.57759002999335,6.3760217212755,6.85857627363542,6.51125436133461,6.63846446552306,6.54853958682342,6.57626481056213
"312",2003,"MINNESOTA","27161",0.431552734083798,6.91,6400,6.85595599549782,6.54146649118909,6.93395836627888,6.59491060590899,6.99136836256207,6.72548410614752,6.56579017748653,6.98188735191411,6.64463225485164,6.74972633755376,6.56893335016504,7.00456948810819,6.67709735709578,6.80646469224872,6.72836474037993,6.75318614815427
"356",2003,"MINNESOTA","27037",0.331552734083798,6.81,3100,6.71056611774286,6.21415473261209,6.8672386367508,6.26199686268702,6.90564097664327,6.41362500108474,6.25452123701845,6.87515326773629,6.33111499586642,6.44902543440006,6.25412205218494,6.90707482803648,6.36395209752992,6.51027288082254,6.42870914480437,6.45406219933886
"388",2003,"MINNESOTA","27049",-0.278447265916202,6.2,5000,6.81825431696509,6.44123066649233,6.94964236469142,6.53861433680685,7.02096068234131,6.69722418444045,6.464136571705,6.98275317156223,6.56799393274554,6.72605794143358,6.46809213917048,7.00356868380251,6.60418946178754,6.78171372491531,6.65466627027712,6.68260542487916
