"","year","State","FIPS","yield_ana","yield","area","A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P"
"9",2003,"MINNESOTA","27085",0.411552734083798,6.89,1800,6.70013464775822,6.16005076807667,6.47438141053979,6.30441956466513,6.60192361405736,6.15602041411514,6.29372911541991,6.64195406875153,6.12455167845539,6.26637590149656,6.29404460460364,6.61488678785246,6.11541092311939,6.2511429162008,6.25344750547837,6.24846503845765
"36",2003,"MINNESOTA","27093",0.611552734083798,7.09,1100,6.76184728644163,6.25069436778842,6.55668705729654,6.39608473372935,6.67145081262876,6.24973428563501,6.37111837828089,6.69758307704909,6.21010867635429,6.35654820531329,6.37303480448826,6.67444101921683,6.20262393412315,6.34001309907572,6.32880718091913,6.32552774357603
"68",2003,"MINNESOTA","27129",0.421552734083798,6.9,29300,6.72523080659881,6.21086419822311,6.50775318674778,6.34128712377976,6.61665834592096,6.19313378738283,6.33316697990013,6.65831576078158,6.16691176382757,6.29494121166311,6.33397470235648,6.63193413620656,6.15806075447187,6.28142997112391,6.28767033347758,6.28259929524743
"100",2003,"MINNESOTA","27015",0.521552734083798,7,10400,6.81818233518241,6.35960683123076,6.63460462176439,6.47332053499273,6.71799447279005,6.34017459989285,6.47039224805865,6.76700114130632,6.32186871258887,6.44828538266402,6.4657362021815,6.73121172994051,6.30918690468791,6.41708866476345,6.42878759808545,6.41749969833466
"133",2003,"MINNESOTA","27043",0.821552734083798,7.3,6000,6.58638420614726,6.25901050495694,6.43568543433701,6.33516903144772,6.49566588250899,6.22841553082981,6.33474460840185,6.53449678695688,6.21883706618684,6.30456946811328,6.33197845181595,6.50800222008335,6.20934646060758,6.28259517434929,6.29538887485161,6.28673075421899
"164",2003,"MINNESOTA","27047",1.2215527340838,7.7,9400,6.70830000373117,6.32452333971655,6.51830755853129,6.40736033655149,6.60027492285454,6.28698926505439,6.41626612832363,6.64776348257433,6.28083196319074,6.36205427987218,6.4154156702349,6.6229233727093,6.27199359777413,6.35111869396905,6.37334478465109,6.36657291494599
"189",2003,"MINNESOTA","27079",-0.248447265916202,6.23,1300,6.71437652970738,6.29190964983414,6.49152168354627,6.397723756938,6.6087395857237,6.26430204045321,6.40024918180743,6.65739748766106,6.25054900710631,6.36317059788737,6.39698371179167,6.62590907162667,6.23893280062885,6.33949576342601,6.35660811285675,6.3467629942778
"220",2003,"MINNESOTA","27091",1.0015527340838,7.48,2100,6.47930074409956,6.14385589500538,6.33669915492978,6.22897460900587,6.4043624068984,6.12868738236769,6.22650289571212,6.44176266125625,6.11526100106981,6.21295282384096,6.22213089229634,6.41320880379408,6.10495682323509,6.18584736775702,6.19479324297974,6.18517497905581
"252",2003,"MINNESOTA","27103",0.311552734083798,6.79,2900,6.67483051024488,6.1857171229023,6.444008789083,6.30189551483679,6.56630565317458,6.16425233589268,6.31526567173196,6.62910281680267,6.15405625514197,6.2753958079184,6.30972348356485,6.59128934477692,6.14017581152468,6.24941414152887,6.27617900799095,6.26413441835949
"280",2003,"MINNESOTA","27147",0.121552734083798,6.6,8100,6.58095308427032,6.22940190646116,6.4090836887335,6.31720939721751,6.49037693858136,6.20356170496321,6.31015279883448,6.51937666374799,6.18634979642891,6.2727192434785,6.3117686162734,6.50163206527914,6.1803108951302,6.26428922185545,6.26970908143645,6.26630806922742
"312",2003,"MINNESOTA","27161",0.431552734083798,6.91,6400,6.70898999739014,6.3618522944382,6.54391817395013,6.44474427965218,6.61632605120395,6.33293240845758,6.44105860481346,6.64913373557266,6.31900914390539,6.40217206184593,6.441708684024,6.62933632818173,6.3121953981756,6.3916111117,6.40056997656071,6.39597239381546
"356",2003,"MINNESOTA","27037",0.331552734083798,6.81,3100,6.60764733319428,6.00161855865445,6.38131585763304,6.16455708858416,6.49347096897994,5.99272350017206,6.13504163347882,6.51877468953076,5.94662052815863,6.09797308441425,6.142038597158,6.50099730962444,5.94186910894175,6.09610239468728,6.08223993291966,6.083825014993
"388",2003,"MINNESOTA","27049",-0.278447265916202,6.2,5000,6.74451743466607,6.29802183763567,6.53950642037623,6.41719624092837,6.64230970818,6.27682256965622,6.39641685750229,6.66291094116362,6.24475712520032,6.35377507901164,6.40275040444591,6.65048934373664,6.24125015731111,6.35484718384223,6.34812822069426,6.3494972299522
