"","year","State","FIPS","yield_ana","yield","area","A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P"
"9",2003,"MINNESOTA","27085",0.411552734083798,6.89,1800,6.51346912611971,6.3578775983125,6.68897012412734,6.40835809902794,6.32512919228212,6.2224658012157,6.5163359649584,6.3095607317628,6.440864343862,6.2093806895588,6.65676292957804,6.38112482295147,6.59082240980784,6.26975374541908,6.67854448135135,6.32390372057663
"36",2003,"MINNESOTA","27093",0.611552734083798,7.09,1100,6.43745456960171,6.34418279769206,6.68156615833177,6.43538922550499,6.35272056423196,6.26174063373812,6.48769648128527,6.29424497434702,6.33185818736172,6.14504914798759,6.52401253007086,6.28910097435111,6.5568008244752,6.254060174883,6.63248664520473,6.29596827089147
"68",2003,"MINNESOTA","27129",0.421552734083798,6.9,29300,6.35922268134683,6.37364569148113,6.63191024911296,6.47902344264164,6.38629676093094,6.39671892449582,6.58706772743602,6.49713368850612,6.30895980646375,6.26138529644961,6.56572936871429,6.47655505960348,6.56376336552262,6.39815370394778,6.68081254094438,6.54292135940508
"100",2003,"MINNESOTA","27015",0.521552734083798,7,10400,6.46679953865648,6.47625365921159,6.67554321164733,6.58766481089771,6.45859180327123,6.46043062676701,6.61920520075247,6.53983217094369,6.35935879980384,6.31562195736427,6.58602401942141,6.508812840281,6.5718378225943,6.45757429302049,6.66144565319363,6.47083048510226
"133",2003,"MINNESOTA","27043",0.821552734083798,7.3,6000,6.4620633358967,6.57407598902617,6.61796031242796,6.64870279572929,6.3456005469483,6.49219927208803,6.5343207833779,6.5962170538139,6.2697772963266,6.35155447439469,6.48203613502771,6.53276199541026,6.46258220234964,6.47900797573582,6.53079852481417,6.5202372988614
"164",2003,"MINNESOTA","27047",1.2215527340838,7.7,9400,6.2591873443602,6.49010201429235,6.6118358507414,6.73098845491455,6.33506050088264,6.50795369698838,6.47510787779394,6.58086840560315,6.05777375489304,6.25881273521077,6.27839177564753,6.4449852145135,6.42669969546532,6.53547335611214,6.4841028607211,6.45951281666208
"189",2003,"MINNESOTA","27079",-0.248447265916202,6.23,1300,6.633298597105,6.59194390929608,6.7657828483678,6.66346850038232,6.41440227843827,6.44107965545984,6.60699354973271,6.54811683212085,6.50090283199423,6.41232163641847,6.70429160630185,6.58712032434545,6.64073939658119,6.5072269787628,6.70976843747956,6.46454732726213
"220",2003,"MINNESOTA","27091",1.0015527340838,7.48,2100,6.39816437727351,6.45641587359431,6.48963355235953,6.50942330574832,6.24014904793712,6.34638747256836,6.41498896960474,6.42894946533394,6.18872244740176,6.19821063055675,6.39624146802199,6.37544515903806,6.3226765173015,6.29749603357591,6.38685977121655,6.49130339721472
"252",2003,"MINNESOTA","27103",0.311552734083798,6.79,2900,6.33165168630685,6.46237424917341,6.53641404565713,6.54953093740219,6.26163762528907,6.4166994988237,6.42637295893217,6.50156902560948,6.19088500607173,6.28412704435055,6.41836485853806,6.47695750665308,6.40475338165187,6.41120091580575,6.49148667899188,6.52400166512457
"280",2003,"MINNESOTA","27147",0.121552734083798,6.6,8100,6.25837573148825,6.36852387300225,6.56363827366638,6.60984787088735,6.20082073083432,6.30053358570692,6.34732854724132,6.37281504161558,6.0652349192504,6.12333355286799,6.26386731834735,6.29475941729421,6.3772946886112,6.38608443636648,6.4207576545256,6.49971333235211
"312",2003,"MINNESOTA","27161",0.431552734083798,6.91,6400,6.57616927688337,6.66317402004747,6.79413224676791,6.82603804085091,6.50467289110948,6.61487115497906,6.70370491968599,6.73301078215209,6.42336748755427,6.48261751647376,6.6512704069935,6.68519662399635,6.66376263790948,6.68135517485621,6.73798417333921,6.64343068717294
"356",2003,"MINNESOTA","27037",0.331552734083798,6.81,3100,6.05586475602719,6.06406086861473,6.4181219955581,6.21261472621002,6.0947248275786,6.01636581078403,6.23425513665019,6.07536061090406,6.05454324853385,5.97833374116258,6.27029060476689,6.14056493191766,6.3472543448389,6.13720358601692,6.4495825186433,6.36268640342582
"388",2003,"MINNESOTA","27049",-0.278447265916202,6.2,5000,6.45053162712221,6.47283925309538,6.73551402508219,6.60791638702901,6.36959843996533,6.37196321634308,6.5435815344124,6.43888473712701,6.33894118697819,6.27232498354063,6.54684640467112,6.43006283960975,6.60008262361197,6.428667840414,6.68006147490875,6.39901129492015
"420",2003,"MINNESOTA","27109",-0.778447265916202,5.7,8200,6.30563693725992,6.39784971857753,6.50853667198119,6.47276052472544,6.17508104164861,6.2876061894874,6.30212690656968,6.31200502394956,6.08282567196035,6.11206851025507,6.23782147238645,6.21929737921725,6.31058402916505,6.22867600001659,6.3606430408417,6.16824574931012
"452",2003,"MINNESOTA","27157",-0.568447265916202,5.91,4400,6.3254293283722,6.34617123234914,6.64521024259005,6.51123847533289,6.33671045695021,6.29358036687286,6.49999980002629,6.35817040964875,6.23396868661874,6.17708325864038,6.44338795699983,6.33687381579624,6.52696703089003,6.36521636209101,6.61522470191415,6.36071702534067
"482",2003,"MINNESOTA","27067",-0.168447265916202,6.31,3200,6.25773852437548,6.1989267582793,6.62166589367303,6.35135633206882,6.32635988054144,6.21293563482168,6.43025863554543,6.23814885604197,6.13824750985872,6.02198017196053,6.33526694652957,6.17033910972955,6.47256566176857,6.19021969275534,6.55947719365809,6.28602424162632
"511",2003,"MINNESOTA","27143",0.421552734083798,6.9,8600,6.60757527286017,6.47442844888072,6.79478695967718,6.53553114305575,6.43513889722091,6.36155758918785,6.65411946924227,6.48893367878889,6.51579725598389,6.3414457564531,6.75795979870496,6.54891952916964,6.6941955583779,6.43205214957946,6.79416878649083,6.36426742610137
"540",2003,"MINNESOTA","27013",0.231552734083798,6.71,2100,5.99130334936224,6.04102940421434,6.14248066588351,6.1147630046923,5.88984527487002,5.97221125047098,6.11728674091843,6.1154537526461,5.84760701136827,5.87591801623429,6.09634801269066,6.09593738485446,6.02947035957732,6.00278748641413,6.12236994813578,6.57379228556993
