"","year","State","FIPS","yield_ana","yield","area","A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P"
"123",2003,"OHIO","39051",6.21972373698372,38.25,520,30.8801821746846,30.9505900453684,30.428270078199,30.8310420960657,30.5497675109738,29.8519932569225,31.893405343286,31.5140817287194,30.8830308569101,30.7615479248554,30.7978541818939,30.4686165186349,29.8452115616399,29.8448674047163,30.8774684855207,29.8388596334597
"140",2003,"OHIO","39069",-0.560276263016277,31.47,880,28.8960429072522,28.78749207745,28.7193762741865,28.5611692009439,28.6967228619586,27.905333381721,29.5758005358955,29.6548866489776,28.886182181473,28.8871095870883,28.5493734894312,28.6649426394309,27.903207037308,27.9070592846892,28.8878912440223,27.9051012158398
"157",2003,"OHIO","39137",-0.890276263016275,31.14,2070,27.7769847473046,27.9150749598348,27.8123170639829,27.5432520773138,27.6717896787116,27.177016078628,28.8305162142732,28.9205068695585,28.4322246007739,28.4960865452776,27.5389298014493,27.6591324285382,27.1765553487444,27.1894549406841,28.443077615671,27.188804062376
"174",2003,"OHIO","39173",-3.19027626301628,28.84,510,27.3278740060791,27.1218063829451,27.224053625681,26.910774821226,27.1916797759813,26.3659043604565,28.0214201418172,28.2478932319422,27.4452268507861,27.4511847705997,26.8990711974581,27.1589978685525,26.3637439857037,26.3684923628197,27.4476887243618,26.3664872830965
"199",2003,"OHIO","39143",-1.21027626301628,30.82,340,27.4217621899904,27.5264290537812,27.3596597054401,27.4379321051428,27.4082926758256,27.1885747966458,28.6261550361182,28.5224161970786,28.3720139996288,28.2549637305667,27.4048374287095,27.3266654275193,27.1815232657402,27.1904103642074,28.3742360907538,27.1839899068988
"215",2003,"OHIO","39037",-9.81027626301628,22.22,650,26.6632144952482,26.8769541903274,26.7475085064059,26.104019788915,26.4877688556324,25.3015379012977,26.6945941409811,27.0023961628893,25.8757367234676,25.7974659513883,26.0785960854794,26.4198490439207,25.2970063744979,25.3274186899019,25.8985361812867,25.3228287579637
"17",2004,"CALIFORNIA","6011",10.0577454184345,43.02,20500,36.7194319058959,36.7456991158674,36.73420245805,36.7488598738645,36.751088894296,36.7701039644272,36.6494409057335,36.657056639912,36.6961214296425,36.6969768975993,36.7388898428818,36.7287799500254,36.7621006119105,36.7705994376154,36.6971692522929,36.7625956184148
"25",2004,"CALIFORNIA","6067",2.94774541843449,35.91,2200,33.4110107360708,33.4266745985089,33.3678305146924,33.4276002579782,33.3868057786113,33.3664475904969,33.3694573484118,33.3238474410762,33.314537909266,33.3133178675359,33.423145330635,33.3765921597514,33.3629804912255,33.3657565818715,33.3134079901962,33.3623378952
"44",2004,"CALIFORNIA","6101",8.8477454184345,41.81,6200,31.0677803593991,31.0938398992048,31.08282122439,31.0991533671097,31.10278090175,31.1214027432347,31.0060042961387,31.0123095167256,31.0523541862955,31.0531577653169,31.0879537433749,31.0776656014657,31.1124119084261,31.1218817261139,31.0533684646319,31.1128945338261
"54",2004,"CALIFORNIA","6113",7.0377454184345,40,37300,32.9590588388989,32.9796124545247,32.9565272038161,32.9841152584164,32.9770069178323,32.9805324814134,32.9126764722035,32.9035509549826,32.9251269184114,32.9252772458818,32.9746410668605,32.9556113530397,32.9729611062868,32.9806431223614,32.9254534062474,32.973090527756
"64",2004,"CALIFORNIA","6019",10.5477454184345,43.51,103300,38.8486704074391,38.8591509989743,38.8559115454287,38.8725714131884,38.8709702684864,38.8924145226754,38.7961735068685,38.801049761727,38.836250933799,38.8363035337464,38.8662314093752,38.8569573361142,38.887296588054,38.8924478336556,38.8364296648553,38.8873448203829
"82",2004,"CALIFORNIA","6031",4.3777454184345,37.34,22500,39.2606987853642,39.2640904606895,39.2522959039575,39.2667347068487,39.2586327197253,39.2563115931442,39.2199774628991,39.2157995434904,39.2192269984295,39.2189606388784,39.2649342873834,39.2545550244796,39.2548847473279,39.256147441226,39.2190037795043,39.2547340654708
"88",2004,"CALIFORNIA","6039",8.2377454184345,41.2,1500,35.1672687962061,35.1702788574006,35.2335553984746,35.1774001939579,35.2246812423543,35.2781382220618,35.1915336134617,35.2468470431383,35.30092387006,35.302944051365,35.1751951374429,35.2203111247604,35.2762103629353,35.2793039267775,35.3029758476266,35.2773197875655
"97",2004,"CALIFORNIA","6047",8.1277454184345,41.09,15600,38.1783243638098,38.1895110569652,38.1532619083476,38.1940759020235,38.1714039433918,38.1597839446885,38.1806938073342,38.14765726635,38.1454070674013,38.1446061464509,38.1885331014606,38.1587612788296,38.1554005165916,38.1593640144229,38.1447010403199,38.1550174393112
"107",2004,"CALIFORNIA","6077",7.0677454184345,40.03,35000,32.2314104853888,32.2454687073744,32.172436244828,32.2499634658956,32.2005059510554,32.1666160983626,32.2127934697333,32.148872983198,32.1281852938073,32.1263170079027,32.243379269419,32.1852778518534,32.1614759279592,32.1655872024092,32.126436022993,32.1605190445752
"117",2004,"CALIFORNIA","6099",9.1077454184345,42.07,12400,32.2948286834113,32.3085894922687,32.2701090102363,32.3135680532768,32.2913973602235,32.2791425764495,32.2783062090591,32.2471832991656,32.2479305167651,32.2471951294447,32.3064417520941,32.2751475234539,32.2734935280968,32.2787580894123,32.2473223523342,32.2731481235768
"122",2004,"OHIO","39051",0.407745418434494,33.37,570,32.6862764665881,32.7385479693946,33.1528194215201,32.7162660510208,32.9974317742976,33.4047874625391,33.4150559567745,33.6987687138787,34.0218942997471,34.0376244854186,32.7355620117988,33.0465589417381,33.4191857999987,33.413929777486,34.0371031796277,33.4277903521293
"139",2004,"OHIO","39069",0.6277454184345,33.59,1010,30.549477615446,30.0012734226404,31.0635185504393,29.9191694148181,30.7750536635756,30.4801389180116,30.5273740508997,31.4646879444744,31.0132426674201,31.027027988361,29.9949139416251,30.9366997329965,30.5399312313397,30.487721446224,31.025607434307,30.5469115190841
"156",2004,"OHIO","39137",-4.1322545815655,28.83,2030,29.7527743840715,29.1965716348696,30.3040666042637,29.1369661257317,30.0327421323989,29.7601951881483,30.1442973710683,31.0486868625302,30.6068991045684,30.6208477227125,29.2034063708471,30.1734095787238,29.812421259954,29.7681722351057,30.6194636846698,29.819799591816
