"","year","State","FIPS","yield_ana","yield","area","A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P"
"123",2003,"OHIO","39051",6.21972373698372,38.25,520,32.8017804488714,32.7831949784833,33.3096032462734,32.3574962617933,32.5007300490207,32.0637255741889,32.6037477705938,32.559426258446,32.0058887409702,32.1384024062658,32.3284972309289,32.4732852227526,31.8865374286393,31.703654925274,32.1536380289089,31.6894611322796
"140",2003,"OHIO","39069",-0.560276263016277,31.47,880,31.2981536430965,31.1614420893908,31.510298139606,30.9072507687803,30.9782306911333,30.3894180689641,31.1358246816333,31.0296741741776,30.3629897392652,30.6397905010486,30.8787480587215,30.9483445985998,30.2491470362353,30.2313622219703,30.6530221616167,30.2151844699601
"157",2003,"OHIO","39137",-0.890276263016275,31.14,2070,31.2752570080791,31.1488706182209,30.9519670724891,31.0830207582977,30.8612486217472,30.2129664994012,31.2805509097691,30.8967311386292,30.1836163028784,30.6487206764998,31.0541031057902,30.8212485051644,30.0780256786176,30.281740874843,30.6569502953566,30.257585788857
"174",2003,"OHIO","39173",-3.19027626301628,28.84,510,30.4240621366154,30.254098132168,30.3596775759525,30.1689225592342,30.1216669147367,29.4994988100015,30.3778619183979,30.1816945576616,29.5671793867248,29.9428082729202,30.1372760268403,30.1044026786974,29.4601974621486,29.5587814143671,29.957778723068,29.5502190080471
"199",2003,"OHIO","39143",-1.21027626301628,30.82,340,30.2683753193753,30.2863757241288,30.0751483667886,30.1896795175695,30.0092213294621,29.7624383090595,30.3966214659273,30.0443830613708,29.6952228244928,30.0308872912236,30.1801645705001,29.9726622425814,29.5993815967637,29.6959071886831,30.037898310924,29.6725413901347
"215",2003,"OHIO","39037",-9.81027626301628,22.22,650,30.1520302503487,29.5310295882115,29.1630119153694,29.9749198848618,29.8286547425552,28.8172419411215,30.1350462867299,29.8125808570794,28.7410881405309,29.5834536384401,29.9771296704935,29.7591280332683,28.6610558421189,29.3361708206729,29.5780523966444,29.2911189064158
"17",2004,"CALIFORNIA","6011",10.0577454184345,43.02,20500,39.321178528402,37.4671031245611,37.2302065926744,39.05608681502,39.4581574755396,37.5924694391893,39.1122286024224,39.302527711528,37.5736672389802,39.1346111805978,39.0910573714407,39.2997967539369,37.5429232646829,39.1427076597327,39.0413322877975,39.0028861776371
"25",2004,"CALIFORNIA","6067",2.94774541843449,35.91,2200,36.7306842278821,34.8173481782821,34.6519772448113,36.6203181926509,36.933797115859,34.8021961208343,36.4963613513365,36.9475643431303,35.4646682903518,36.8021018065779,36.622323609928,36.9751288904065,35.514230437432,36.9790044888641,36.7942049964625,37.0156765467263
"44",2004,"CALIFORNIA","6101",8.8477454184345,41.81,6200,34.9670436661296,32.9469585746867,32.0841685378863,34.9830879963884,34.9894188196117,32.6929237570797,34.9066941052855,34.8874873531436,33.0392323036282,34.8345874681599,35.0002849078353,34.9054850510687,33.0599825794931,34.9774182744274,34.7596136274824,34.9025623996325
"54",2004,"CALIFORNIA","6113",7.0377454184345,40,37300,36.2789858801908,34.5701056683715,34.4004638735785,36.0779823281822,36.3312797612367,34.3181078578325,36.0687032172684,36.3164801883837,34.7868722294873,36.0959723354152,36.0810672794654,36.3206395002222,34.7762955112522,36.1162872496735,36.0867445565222,36.1078269635922
"64",2004,"CALIFORNIA","6019",10.5477454184345,43.51,103300,40.5079664638224,40.5514203875374,39.5086870914871,41.2363115073283,40.6178682345289,40.6593750406961,40.9881666639168,40.733881388441,41.2801119410662,41.4018888696271,41.2182639383214,40.7765489830155,41.3985772055807,41.7001502560031,41.4375486813634,41.8365603738243
"82",2004,"CALIFORNIA","6031",4.3777454184345,37.34,22500,41.894318166977,42.0176330504577,40.4585486782763,42.8854423475462,41.9023707994038,41.8530084915422,42.5684716406408,42.0659617643948,42.7138642535152,42.907896557806,42.8535412984559,42.1175053826906,42.8570634672855,43.2646834325146,42.9651775943194,43.4501304453361
"88",2004,"CALIFORNIA","6039",8.2377454184345,41.2,1500,37.3169735710239,37.2564680563819,36.7543952190534,37.8776921039948,37.6827264479971,37.9562872208816,37.8182000720433,37.8016181286118,38.4986084299888,38.6465229917064,37.8771875461341,37.8128057177469,38.5404718487946,38.7390871808904,38.7026847431175,38.8500944802423
"97",2004,"CALIFORNIA","6047",8.1277454184345,41.09,15600,41.1338157914582,40.7167306125659,39.6134240886055,41.7360372063398,41.1429972652123,40.5077028257666,41.5412466639112,41.2512258584009,41.2287054692719,41.7629699023916,41.7151648035253,41.2827877382733,41.3109323736307,41.9794194154678,41.8031253995279,42.1001546455512
"107",2004,"CALIFORNIA","6077",7.0677454184345,40.03,35000,34.3919426645283,32.9490975929885,33.3258840982045,34.1947317414532,34.7062650667655,33.2120814113339,34.1026102335868,34.7719577813088,33.8490894946984,34.628643942551,34.1930819010234,34.7941768642908,33.8926337455003,34.7575158389635,34.6567105062249,34.8357330088325
"117",2004,"CALIFORNIA","6099",9.1077454184345,42.07,12400,34.978926249736,34.0918913623327,33.7290942144362,35.1718461244077,35.1214130947073,34.0934078633181,35.0634350841273,35.2081334265036,34.7502443649446,35.4084982356812,35.1608625262107,35.2279762610789,34.7956150312633,35.5341031341008,35.4469425209594,35.627224735997
"122",2004,"OHIO","39051",0.407745418434494,33.37,570,34.5847044235378,35.8382731863989,35.8951720622245,35.232816787047,34.900535803859,36.4192374464249,35.2279920108028,35.2352587220821,37.2905570154734,36.2150038414492,35.1929967761885,35.2283860123889,37.3058857433558,36.1426849271851,36.4162946298325,36.4293137769837
"139",2004,"OHIO","39069",0.6277454184345,33.59,1010,32.6316927514874,33.7356970063865,33.2826359605558,33.3699910268298,32.8045463125256,34.0706382988097,33.3486984962486,33.0659030980334,34.7860024855558,34.0449264972066,33.3367776563887,33.0614696158233,34.802885166446,34.0058064161129,34.1987758155646,34.2293277322665
