"","year","State","FIPS","yield_ana","yield","area","A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P"
"123",2003,"OHIO","39051",6.21972373698372,38.25,520,31.4872616536577,31.8930806732173,33.9740073907771,34.2597580030106,32.2427653424925,33.8431531327669,31.242107761365,32.1252342439409,29.914446863774,30.2932001694811,29.9778567881657,29.5154303024433,33.5919155238606,33.9217214973764,34.1468933409922,29.4842035222203
"140",2003,"OHIO","39069",-0.560276263016277,31.47,880,28.0266464557619,28.0501218290252,30.0425521759628,29.0823104804899,28.4569710683732,29.0330355840433,27.6068874040988,27.446556684416,26.52512289047,26.3906983363042,26.6087175051226,25.516996356387,29.9661102387487,29.2300527076753,30.4431461437444,26.672374463042
"157",2003,"OHIO","39137",-0.890276263016275,31.14,2070,26.9375790579964,26.4422724670541,28.5804470418399,26.3963495488377,25.8496393746212,25.2271814954519,24.9994611941472,23.4361814295946,25.0998941465552,24.3117375555744,25.1499379548932,23.2852815047256,28.1550781650215,26.5166986802441,28.8625288450909,24.2654989965201
"174",2003,"OHIO","39173",-3.19027626301628,28.84,510,27.3379680309025,27.4194724567409,29.8858396674292,29.0915776346203,27.3350685301447,28.0535352713845,26.3850394726234,26.2804734769886,25.9003064010414,25.7753217017649,25.9694700868555,24.8785913440063,30.0061094805255,29.3979901079627,30.5780501124771,27.6773139253774
"199",2003,"OHIO","39143",-1.21027626301628,30.82,340,29.8617972738973,30.0714005820659,32.7589116642073,33.0389333743153,28.7118498287897,29.3605138480739,27.6621101322064,27.7428335942056,27.843718355972,27.9060008534195,27.888804680963,27.672266786689,32.1070611982584,32.7186054342656,32.895471392638,30.2760759041329
"215",2003,"OHIO","39037",-9.81027626301628,22.22,650,24.2403323976354,22.1125724083556,25.784733102719,21.7463339955016,21.9699653131621,17.6517798411754,21.6110815496621,16.9931518114303,22.2430830039785,20.1133275988924,22.6715958052346,19.6571784401408,26.6352666928394,22.9936753113074,27.5402065065594,25.0399292616646
"17",2004,"CALIFORNIA","6011",10.0577454184345,43.02,20500,40.1914928586621,40.265307147054,38.7754416133117,38.6963783922895,36.2943940769342,36.5191388361479,36.0715714290715,36.1337706345218,39.5013483975986,39.7222294270637,40.1008447051225,40.4377653690913,39.8046613999752,39.8248934108237,39.6068125807974,32.7189071841918
"25",2004,"CALIFORNIA","6067",2.94774541843449,35.91,2200,37.9135270626944,37.9526486390999,37.1149651908092,37.2290671980026,32.4142594219752,32.5524626392539,32.7111299988967,32.7347040536546,36.7978661409763,36.8407355588371,38.1904358484393,38.5908683454515,37.7208111530149,37.8368957828378,37.4594946906297,32.4837737440187
"44",2004,"CALIFORNIA","6101",8.8477454184345,41.81,6200,36.6694429269215,36.7390801998981,35.4844777309979,35.7147706135636,29.9968826780341,30.2470603410017,30.2195213953535,30.3186839336764,35.2596011142847,35.4070518213073,37.1905328934992,37.8411934150138,36.2136914694859,36.475557560329,35.7572039536794,31.4295097430352
"54",2004,"CALIFORNIA","6113",7.0377454184345,40,37300,37.4065036645896,37.4747850599522,36.3213931535206,36.594175582607,31.5671431413159,31.7655262567061,31.8426828681177,31.9353552168885,36.0709535066011,36.219543761797,38.1952074173663,38.8690170164873,37.2195851909523,37.533594013383,36.7677691285528,31.9520912170664
