,year,FIPS,County,State,yield,area,tmax5,tmax6,tmax7,tmax8,tmax9,tmin5,tmin6,tmin7,tmin8,tmin9,tave5,tave6,tave7,tave8,tave9,vpdmax5,vpdmax6,vpdmax7,vpdmax8,vpdmax9,vpdmin5,vpdmin6,vpdmin7,vpdmin8,vpdmin9,vpdave5,vpdave6,vpdave7,vpdave8,vpdave9,precip5,precip6,precip7,precip8,precip9,tave56789,vpdave56789,precip56789,precip_gs_mean,precip_gs_std,precip_gs_z,yield_ana
0,2017,6013,CONTRA COSTA,CALIFORNIA,44.04,3300,24.5495645227,28.2920453281,31.3822017534,29.6837662838,28.6765122653,10.7220147072,13.5381137385,14.425968026300001,15.301634963900002,14.863689481600002,17.6357896149,20.9150795333,22.9040848898,22.4927006239,21.7701008735,20.5575758207,26.037895026799998,34.265874363,28.9372739086,28.4343564473,2.3557648558200004,2.99480175222,3.73202094176,3.3752484414599997,4.21692017483,11.456670338299999,14.516348389500001,18.998947652400002,16.156261175,16.325638311,0.441368421693,1.2410614101100002,0.0,0.0208859645798,0.316956141456,21.14355110708,15.2820568888,2.0202719378388,6.401671047638951,6.196234043248779,-0.7071067811865476,-5.95306450621225
1,1991,6013,CONTRA COSTA,CALIFORNIA,34.61,4100,22.4483135258,25.8176315812,30.7332937201,28.3970769554,30.292906415999997,8.83705715548,10.7850292394,13.4413978553,13.011160161300001,13.1973128645,15.6426853406,18.3013304103,22.0873457877,20.704118558399998,21.7451096402,16.3996604473,22.266304098200003,30.5413638988,24.0330475472,29.5220380112,1.64451329781,1.7718011666900002,1.8657045842,1.53491793902,2.08417836293,9.02208687253,12.0190526325,16.2035342415,12.7839827431,15.803108187100001,5.17447368253,2.92780701574,0.136842104574,2.4993859512,0.0445614033951,19.696117947439998,12.507164122407499,10.783070157439102,6.401671047638951,6.196234043248779,0.7071067811865476,9.550527744969585
2,2017,6069,SAN BENITO,CALIFORNIA,35.82,1000,24.7399449436,29.8594020862,33.5886775628,32.6532873788,29.357013133600002,9.29718191848,12.774390860799999,15.7234111357,16.338910058,13.6356046547,17.018563431,21.316896473499998,24.656044349200002,24.496098718400003,21.4963088941,23.256559706999997,32.92853317,43.6564709834,38.9474541151,32.2347293285,2.89825992718,5.11838397488,9.41090307077,7.7865955286,5.56780752814,13.0774098171,19.0234585724,26.5336870271,23.3670248219,18.9012684283,1.46112499903,1.60950480926,0.0,0.0019086538271099998,0.258649038805,21.79678237324,20.500395059625,3.33118750092211,9.357635301416897,10.809621891035386,-0.5575077335029294,-14.17306450621225
3,2016,6069,SAN BENITO,CALIFORNIA,43.14,700,23.655379345,31.3085490263,32.3679942682,31.5459801281,29.4649745342,8.88536445791,13.188303196800002,14.418676178,13.6822437911,11.952492313099999,16.270371901500003,22.248426111599997,23.3933352231,22.6141119596,20.7087334237,20.1856391126,39.2391557898,40.583235730300004,37.1092321677,34.3585221063,2.0138953159099997,7.08725480646,8.02634042036,6.69679512875,5.94241554181,11.0997672142,23.1632052981,24.304788075300003,21.9030136482,20.150468824,7.290384607439999,0.0,0.0,0.0,0.0,21.046995723899997,20.117693558950002,7.290384607439999,9.357635301416897,10.809621891035386,-0.19124172101628328,-5.218930218586465
4,2013,6069,SAN BENITO,CALIFORNIA,37.5,2000,25.143452235399998,30.0241794919,33.2791625362,31.225907249099997,28.886548069499998,9.21350030527,12.7595176257,15.615483873099999,13.915147326400001,12.558487191900001,17.1784762703,21.3918485588,24.4473232046,22.5705272877,20.7225176307,25.0532258184,33.5470176347,41.668467763,35.5707537223,30.4477980627,3.34704404564,4.740826918490001,7.6637872194000005,5.109834058680001,4.30681570504,14.200134932000001,19.1439222766,24.666127491199997,20.3402938905,17.3773068839,0.393509615607,0.0681249998116,0.0,0.0,1.07918269219,21.26213859042,19.587619647575004,1.5408173076086,9.357635301416897,10.809621891035386,-0.7231351912772198,-6.280599341407651
5,2012,6069,SAN BENITO,CALIFORNIA,43.0,2000,25.477645773899997,28.8454246677,31.092084368800002,34.1280257427,31.2148061135,8.12403535908,10.6358798066,13.096138335,15.6726597471,13.4196810952,16.8008405665,19.7406522371,22.0941113519,24.900342744899998,22.3172436044,25.403197881300002,32.4624471416,36.2944602925,44.8229916258,37.455516032199995,2.84955335019,4.268846152169999,5.460494730720001,8.884844918210002,6.6407387809800005,14.126375615699999,18.3656466469,20.877477511600002,26.853918271999998,22.0481274066,1.18403846448,2.33480769271,0.0,0.0,0.00024038461896700003,21.17063810096,20.055854511550002,3.519086541808967,9.357635301416897,10.809621891035386,-0.5401251605710597,0.6374869557039347
6,2011,6069,SAN BENITO,CALIFORNIA,45.67,3000,21.2131001874,26.2032051277,31.0484786019,31.444139260500002,31.215850961799998,5.8384801476,9.859830134860001,13.0385344316,12.391701299200001,13.3519519327,13.5257901675,18.0315176313,22.0435065167,21.9179202799,22.283901447199998,18.0669913082,25.6153846237,34.648584075100004,36.2955862094,36.6371009341,1.90709832588,2.85925640954,4.86969292932,5.89941997484,6.44029967805,9.98704481707,14.2373205166,19.7591385022,21.097503092100002,21.5387003061,18.982115408,14.033413456300002,0.0,0.0,0.00918269222781,19.56052720852,16.2702517319925,33.02471155652781,9.357635301416897,10.809621891035386,2.189445338022271,4.671561255223352
7,2010,6069,SAN BENITO,CALIFORNIA,64.0,2000,20.785921207,28.5119887997,31.4033048904,30.5351830221,30.2333413204,6.036885858230001,11.0757035187,13.559247824000002,12.4068641425,12.3254102528,13.4114035326,19.7938461592,22.4812763572,21.4710235823,21.2793757866,16.9836553973,29.187964748600002,32.6725930564,32.202734198,34.9037820615,1.4519416870200001,3.48684775748,5.436291872000001,4.67125775491,5.49629647362,9.21779854216,16.337406253,19.0544424642,18.4369959765,20.2000392676,9.67062499215,0.0,0.0,0.0,0.0192788461438,19.687385083579997,15.761660808965,9.6899038382938,9.357635301416897,10.809621891035386,0.030738220099304235,24.311623557121493
8,1991,6069,SAN BENITO,CALIFORNIA,33.33,4000,22.536358548200003,26.8165496741,32.3328256787,30.423379333699998,31.8819823488,5.590291565,9.29663301615,13.7960530335,12.602512403699999,12.4106650652,14.0633250566,18.0565913451,23.064439356100003,21.512945868699997,22.146323706999997,17.0269804616,24.949506405500003,33.4872084433,27.7189407454,31.950955127600004,1.3100728907299999,2.6569999999,4.92768145464,3.4733188621699993,4.41133333474,9.16852667617,13.8032532027,19.207444949,15.596129803800002,18.181144231199998,3.6178846084500003,0.814663458777,0.0,1.18206730763,1.4927403824599998,19.768725066699997,14.443838657917501,7.107355757317,9.357635301416897,10.809621891035386,-0.20817375175408254,8.270527744969584
9,2017,6011,COLUSA,CALIFORNIA,46.16,13100,27.935384441,31.743953305999998,35.6725022871,35.258840820500005,31.400383874699997,11.547056536,15.782507318099999,17.3788587406,17.967594116500003,14.917121418399999,19.741220488499998,23.7632303121,26.5256805138,26.6132174685,23.1587526466,28.659198329299997,35.855420319000004,47.184970039300005,43.8656581034,37.393363357199995,3.3133465073900004,4.75503516705,6.936306096649999,6.66242448878,5.743260255419999,15.986272418399999,20.305227743,27.060638068000003,25.2640412961,21.568311806300002,1.2259340675700001,8.18347802911,0.0,0.41769779774800003,0.5142857152179999,23.9604202859,22.154044881375,10.341395609646,26.300424914274018,23.71049017320932,-0.6730788435011039,-3.833064506212253
